CouncilDistrict,OffenseCategory,ReportMonthYear,CrimeCount
NA,Fraud Offenses,May 2015,63
1,Sex Offenses,May 2015,14
1,Kidnapping/Abduction,May 2015,3
3,Vandalism,May 2015,155
1,Motor Vehicle Theft,May 2015,87
NA,Human Trafficking Offenses,January 2015,1
NA,Vandalism,May 2015,8
NA,Counterfeiting/Forgery,March 2015,6
2,Fraud Offenses,May 2015,94
4,Vandalism,May 2015,177
1,Robbery,May 2015,15
1,Burglary,May 2015,88
3,Drug/Narcotic Offenses,May 2015,26
4,Human Trafficking Offenses,May 2015,1
NA,Assault Offenses,May 2015,5
1,Drug/Narcotic Offenses,May 2015,56
4,Larceny Offenses,May 2015,562
2,Robbery,May 2015,19
4,Fraud Offenses,May 2015,104
NA,Larceny Offenses,May 2015,45
2,Burglary,May 2015,83
2,Kidnapping/Abduction,May 2015,4
1,Pornography/Obscene Material,May 2015,1
1,Counterfeiting/Forgery,May 2015,42
3,Assault Offenses,June 2015,118
2,Assault Offenses,June 2015,162
1,Assault Offenses,June 2015,189
3,Larceny Offenses,June 2015,473
3,Arson,June 2015,3
1,Burglary,June 2015,76
1,Motor Vehicle Theft,June 2015,93
2,Larceny Offenses,June 2015,447
4,Assault Offenses,June 2015,158
3,Prostitution Offenses,May 2015,12
2,Weapon Law Violations,May 2015,10
NA,Larceny Offenses,April 2015,52
2,Sex Offenses,June 2015,7
1,Prostitution Offenses,June 2015,8
1,Vandalism,June 2015,120
1,Larceny Offenses,June 2015,457
3,Vandalism,June 2015,119
1,Sex Offenses,June 2015,18
1,Drug/Narcotic Offenses,June 2015,50
3,Motor Vehicle Theft,June 2015,83
2,Vandalism,June 2015,98
3,Sex Offenses,June 2015,6
NA,Assault Offenses,June 2015,6
1,Fraud Offenses,June 2015,106
3,Burglary,June 2015,105
4,Sex Offenses,June 2015,5
4,Larceny Offenses,June 2015,539
NA,Sex Offenses,June 2015,6
NA,Robbery,June 2015,2
2,Robbery,June 2015,18
1,Weapon Law Violations,June 2015,24
4,Robbery,June 2015,25
4,Vandalism,June 2015,154
1,Kidnapping/Abduction,June 2015,1
4,Burglary,May 2015,55
2,Kidnapping/Abduction,June 2015,2
4,Fraud Offenses,June 2015,75
NA,Kidnapping/Abduction,June 2015,2
3,Drug/Narcotic Offenses,June 2015,20
NA,Vandalism,June 2015,11
2,Prostitution Offenses,June 2015,2
NA,Extortion/Blackmail,June 2015,1
1,Embezzlement,June 2015,3
4,Drug/Narcotic Offenses,June 2015,60
NA,Fraud Offenses,June 2015,41
2,Fraud Offenses,June 2015,77
3,Assault Offenses,July 2015,108
2,Assault Offenses,July 2015,139
1,Assault Offenses,July 2015,197
4,Assault Offenses,July 2015,105
1,Drug/Narcotic Offenses,July 2015,65
3,Robbery,July 2015,5
NA,Fraud Offenses,July 2015,26
NA,Larceny Offenses,July 2015,37
3,Vandalism,July 2015,169
2,Larceny Offenses,July 2015,468
2,Vandalism,July 2015,119
4,Vandalism,July 2015,151
NA,Vandalism,July 2015,5
1,Larceny Offenses,July 2015,525
3,Sex Offenses,July 2015,9
1,Vandalism,July 2015,164
1,Sex Offenses,July 2015,15
4,Sex Offenses,July 2015,10
3,Larceny Offenses,July 2015,457
2,Burglary,July 2015,69
2,Motor Vehicle Theft,July 2015,63
1,Motor Vehicle Theft,July 2015,108
1,Burglary,July 2015,92
1,Weapon Law Violations,July 2015,18
1,Robbery,July 2015,21
3,Prostitution Offenses,July 2015,9
2,Kidnapping/Abduction,July 2015,1
3,Assault Offenses,October 2015,116
2,Weapon Law Violations,July 2015,16
3,Kidnapping/Abduction,July 2015,3
3,Weapon Law Violations,July 2015,7
4,Larceny Offenses,July 2015,550
3,Human Trafficking Offenses,July 2015,2
4,Pornography/Obscene Material,July 2015,1
1,Kidnapping/Abduction,July 2015,2
4,Burglary,July 2015,70
2,Sex Offenses,July 2015,8
4,Robbery,July 2015,18
NA,Sex Offenses,July 2015,5
1,Fraud Offenses,July 2015,106
1,Prostitution Offenses,July 2015,3
3,Drug/Narcotic Offenses,July 2015,26
3,Burglary,July 2015,107
NA,Assault Offenses,July 2015,7
2,Fraud Offenses,July 2015,93
3,Assault Offenses,August 2015,117
4,Assault Offenses,August 2015,148
1,Assault Offenses,August 2015,212
2,Assault Offenses,August 2015,160
1,Larceny Offenses,August 2015,460
2,Weapon Law Violations,August 2015,23
2,Sex Offenses,August 2015,8
4,Sex Offenses,August 2015,13
1,Sex Offenses,August 2015,18
4,Burglary,August 2015,44
3,Larceny Offenses,August 2015,447
2,Larceny Offenses,August 2015,450
3,Burglary,August 2015,88
1,Fraud Offenses,August 2015,101
1,Vandalism,August 2015,151
2,Kidnapping/Abduction,August 2015,3
1,Burglary,August 2015,85
4,Robbery,August 2015,13
1,Kidnapping/Abduction,August 2015,2
2,Vandalism,August 2015,115
1,Drug/Narcotic Offenses,August 2015,71
1,Weapon Law Violations,August 2015,31
NA,Sex Offenses,August 2015,6
3,Sex Offenses,August 2015,14
3,Vandalism,August 2015,123
4,Larceny Offenses,August 2015,537
NA,Larceny Offenses,August 2015,35
4,Vandalism,August 2015,104
2,Fraud Offenses,August 2015,97
2,Robbery,August 2015,19
4,Prostitution Offenses,August 2015,5
NA,Human Trafficking Offenses,August 2015,3
4,Drug/Narcotic Offenses,August 2015,61
2,Burglary,August 2015,76
3,Counterfeiting/Forgery,August 2015,9
NA,Assault Offenses,August 2015,2
4,Fraud Offenses,August 2015,83
4,Counterfeiting/Forgery,August 2015,17
1,Prostitution Offenses,August 2015,9
3,Kidnapping/Abduction,August 2015,1
1,Assault Offenses,September 2015,182
1,Robbery,August 2015,29
1,Motor Vehicle Theft,August 2015,93
3,Assault Offenses,September 2015,112
2,Larceny Offenses,September 2015,486
4,Assault Offenses,September 2015,119
2,Assault Offenses,September 2015,120
3,Larceny Offenses,September 2015,517
1,Sex Offenses,September 2015,17
4,Burglary,September 2015,43
4,Larceny Offenses,September 2015,576
NA,Larceny Offenses,September 2015,24
1,Larceny Offenses,September 2015,461
1,Fraud Offenses,September 2015,100
2,Weapon Law Violations,September 2015,13
1,Arson,September 2015,5
2,Sex Offenses,September 2015,5
3,Embezzlement,September 2015,2
3,Kidnapping/Abduction,September 2015,1
4,Sex Offenses,September 2015,10
2,Vandalism,September 2015,116
4,Robbery,September 2015,19
2,Burglary,September 2015,68
4,Fraud Offenses,September 2015,89
3,Drug/Narcotic Offenses,September 2015,25
1,Vandalism,September 2015,89
1,Robbery,September 2015,21
1,Burglary,September 2015,81
4,Drug/Narcotic Offenses,September 2015,79
2,Robbery,September 2015,22
2,Kidnapping/Abduction,September 2015,2
4,Vandalism,September 2015,91
NA,Assault Offenses,September 2015,6
3,Vandalism,September 2015,139
3,Sex Offenses,September 2015,3
3,Fraud Offenses,September 2015,79
1,Drug/Narcotic Offenses,September 2015,45
3,Robbery,September 2015,17
4,Pornography/Obscene Material,September 2015,2
4,Prostitution Offenses,September 2015,2
4,Kidnapping/Abduction,September 2015,1
1,Human Trafficking Offenses,September 2015,1
1,Counterfeiting/Forgery,September 2015,28
NA,Motor Vehicle Theft,September 2015,4
NA,Sex Offenses,September 2015,2
2,Prostitution Offenses,September 2015,2
3,Burglary,September 2015,83
3,Weapon Law Violations,September 2015,5
4,Assault Offenses,October 2015,131
1,Assault Offenses,October 2015,198
2,Sex Offenses,October 2015,7
2,Robbery,October 2015,12
2,Assault Offenses,October 2015,106
2,Vandalism,October 2015,136
4,Robbery,October 2015,25
1,Burglary,October 2015,105
2,Larceny Offenses,October 2015,539
4,Fraud Offenses,October 2015,89
1,Fraud Offenses,October 2015,82
3,Sex Offenses,October 2015,12
1,Motor Vehicle Theft,October 2015,164
3,Robbery,October 2015,23
3,Weapon Law Violations,October 2015,9
1,Robbery,October 2015,31
1,Vandalism,October 2015,110
4,Sex Offenses,October 2015,19
1,Sex Offenses,October 2015,18
1,Arson,October 2015,4
1,Kidnapping/Abduction,October 2015,4
3,Vandalism,October 2015,135
1,Larceny Offenses,October 2015,477
2,Weapon Law Violations,October 2015,15
2,Drug/Narcotic Offenses,October 2015,20
4,Burglary,October 2015,76
4,Larceny Offenses,October 2015,657
NA,Larceny Offenses,October 2015,49
3,Larceny Offenses,October 2015,548
3,Burglary,October 2015,70
NA,Sex Offenses,October 2015,7
NA,Assault Offenses,October 2015,8
1,Weapon Law Violations,October 2015,24
2,Pornography/Obscene Material,October 2015,2
4,Vandalism,October 2015,117
4,Animal Cruelty Offenses,October 2015,1
2,Burglary,October 2015,75
2,Fraud Offenses,October 2015,118
4,Weapon Law Violations,October 2015,5
1,Bribery,October 2015,1
3,Fraud Offenses,October 2015,64
4,Assault Offenses,November 2015,117
2,Assault Offenses,November 2015,121
3,Assault Offenses,November 2015,103
1,Assault Offenses,November 2015,157
4,Fraud Offenses,November 2015,129
4,Robbery,November 2015,20
2,Larceny Offenses,November 2015,540
NA,Larceny Offenses,November 2015,39
2,Sex Offenses,November 2015,13
4,Sex Offenses,November 2015,6
3,Sex Offenses,November 2015,4
1,Fraud Offenses,November 2015,88
1,Larceny Offenses,November 2015,431
1,Vandalism,November 2015,126
4,Larceny Offenses,November 2015,627
2,Fraud Offenses,November 2015,123
3,Larceny Offenses,November 2015,473
4,Drug/Narcotic Offenses,November 2015,45
3,Weapon Law Violations,November 2015,4
2,Vandalism,November 2015,125
2,Kidnapping/Abduction,November 2015,1
4,Vandalism,November 2015,110
NA,Extortion/Blackmail,November 2015,1
1,Weapon Law Violations,November 2015,18
2,Burglary,November 2015,61
2,Robbery,November 2015,26
1,Sex Offenses,November 2015,8
3,Drug/Narcotic Offenses,November 2015,14
1,Burglary,November 2015,88
1,Kidnapping/Abduction,November 2015,3
3,Vandalism,November 2015,132
2,Drug/Narcotic Offenses,November 2015,25
4,Burglary,November 2015,53
2,Motor Vehicle Theft,November 2015,128
3,Fraud Offenses,November 2015,64
NA,Sex Offenses,November 2015,4
4,Prostitution Offenses,November 2015,4
2,Weapon Law Violations,November 2015,9
3,Assault Offenses,December 2015,110
3,Sex Offenses,December 2015,15
1,Assault Offenses,December 2015,151
1,Vandalism,December 2015,109
4,Assault Offenses,December 2015,140
2,Assault Offenses,December 2015,125
NA,Sex Offenses,December 2015,10
2,Vandalism,December 2015,101
2,Sex Offenses,December 2015,12
NA,Assault Offenses,November 2015,5
NA,Vandalism,November 2015,7
2,Larceny Offenses,December 2015,540
2,Drug/Narcotic Offenses,December 2015,31
2,Prostitution Offenses,December 2015,1
3,Vandalism,December 2015,109
1,Drug/Narcotic Offenses,December 2015,40
1,Larceny Offenses,December 2015,437
NA,Assault Offenses,December 2015,4
4,Human Trafficking Offenses,December 2015,1
4,Larceny Offenses,December 2015,561
2,Weapon Law Violations,December 2015,13
1,Robbery,December 2015,24
4,Weapon Law Violations,December 2015,7
1,Prostitution Offenses,December 2015,10
2,Motor Vehicle Theft,December 2015,85
2,Robbery,December 2015,21
1,Weapon Law Violations,December 2015,12
1,Sex Offenses,December 2015,9
1,Motor Vehicle Theft,December 2015,167
1,Kidnapping/Abduction,December 2015,3
1,Counterfeiting/Forgery,November 2015,27
4,Burglary,December 2015,77
1,Fraud Offenses,December 2015,97
3,Fraud Offenses,December 2015,86
1,Burglary,December 2015,84
3,Larceny Offenses,December 2015,548
4,Vandalism,December 2015,141
4,Sex Offenses,December 2015,7
3,Burglary,December 2015,95
3,Motor Vehicle Theft,December 2015,190
NA,Fraud Offenses,December 2015,38
3,Kidnapping/Abduction,December 2015,1
2,Fraud Offenses,December 2015,112
2,Burglary,December 2015,55
4,Drug/Narcotic Offenses,December 2015,52
1,Counterfeiting/Forgery,December 2015,32
4,Drug/Narcotic Offenses,October 2015,64
1,Assault Offenses,January 2015,3
2,Assault Offenses,January 2015,3
3,Stolen Property Offenses,November 2015,5
2,Motor Vehicle Theft,March 2015,66
2,Burglary,June 2015,59
2,Motor Vehicle Theft,June 2015,60
2,Drug/Narcotic Offenses,August 2015,20
3,Fraud Offenses,July 2015,87
3,Motor Vehicle Theft,January 2015,143
3,Burglary,May 2015,103
3,Motor Vehicle Theft,November 2015,107
3,Weapon Law Violations,January 2015,8
3,Robbery,March 2015,17
3,Fraud Offenses,June 2015,87
3,Burglary,November 2015,85
1,Motor Vehicle Theft,April 2015,96
1,Motor Vehicle Theft,September 2015,128
1,Motor Vehicle Theft,November 2015,159
2,Burglary,January 2015,78
2,Weapon Law Violations,February 2015,9
2,Fraud Offenses,September 2015,77
2,Motor Vehicle Theft,May 2015,63
2,Fraud Offenses,January 2015,81
2,Arson,February 2015,4
3,Motor Vehicle Theft,August 2015,75
2,Stolen Property Offenses,March 2015,1
2,Drug/Narcotic Offenses,July 2015,24
2,Counterfeiting/Forgery,October 2015,21
2,Burglary,February 2015,46
2,Arson,March 2015,7
4,Drug/Narcotic Offenses,January 2015,104
4,Fraud Offenses,July 2015,71
4,Drug/Narcotic Offenses,March 2015,103
4,Fraud Offenses,December 2015,98
4,Drug/Narcotic Offenses,April 2015,83
4,Counterfeiting/Forgery,May 2015,10
4,Weapon Law Violations,March 2015,8
4,Robbery,February 2015,14
4,Drug/Narcotic Offenses,July 2015,76
4,Weapon Law Violations,August 2015,11
4,Stolen Property Offenses,October 2015,4
3,Motor Vehicle Theft,May 2015,123
3,Motor Vehicle Theft,October 2015,102
3,Fraud Offenses,August 2015,85
3,Counterfeiting/Forgery,June 2015,17
3,Motor Vehicle Theft,July 2015,78
3,Robbery,December 2015,10
1,Motor Vehicle Theft,February 2015,92
3,Robbery,August 2015,9
3,Counterfeiting/Forgery,December 2015,8
3,Arson,September 2015,7
3,Weapon Law Violations,August 2015,5
4,Weapon Law Violations,July 2015,8
4,Homicide Offenses,October 2015,1
4,Fraud Offenses,March 2015,110
4,Motor Vehicle Theft,May 2015,81
4,Motor Vehicle Theft,September 2015,62
4,Arson,August 2015,2
4,Arson,September 2015,1
2,Motor Vehicle Theft,October 2015,85
2,Arson,April 2015,2
3,Counterfeiting/Forgery,May 2015,13
3,Motor Vehicle Theft,February 2015,90
4,Drug/Narcotic Offenses,February 2015,71
4,Motor Vehicle Theft,November 2015,78
4,Robbery,December 2015,19
4,Robbery,May 2015,14
4,Arson,January 2015,6
4,Robbery,March 2015,15
4,Counterfeiting/Forgery,October 2015,28
4,Motor Vehicle Theft,December 2015,98
4,Motor Vehicle Theft,July 2015,58
4,Motor Vehicle Theft,October 2015,67
3,Stolen Property Offenses,August 2015,4
1,Motor Vehicle Theft,March 2015,94
4,Arson,December 2015,7
4,Motor Vehicle Theft,March 2015,53
4,Weapon Law Violations,May 2015,5
4,Motor Vehicle Theft,June 2015,71
2,Drug/Narcotic Offenses,January 2015,31
2,Drug/Narcotic Offenses,March 2015,38
3,Motor Vehicle Theft,March 2015,99
3,Arson,July 2015,6
3,Drug/Narcotic Offenses,February 2015,21
1,Drug/Narcotic Offenses,October 2015,42
1,Counterfeiting/Forgery,October 2015,24
1,Stolen Property Offenses,October 2015,4
NA,Motor Vehicle Theft,April 2015,2
2,Motor Vehicle Theft,August 2015,50
2,Pornography/Obscene Material,May 2015,2
2,Arson,January 2015,3
2,Counterfeiting/Forgery,August 2015,7
2,Stolen Property Offenses,August 2015,2
4,Counterfeiting/Forgery,February 2015,8
4,Counterfeiting/Forgery,March 2015,8
4,Counterfeiting/Forgery,June 2015,10
4,Counterfeiting/Forgery,July 2015,20
4,Counterfeiting/Forgery,November 2015,13
4,Counterfeiting/Forgery,January 2015,11
3,Drug/Narcotic Offenses,December 2015,15
3,Robbery,April 2015,11
3,Motor Vehicle Theft,September 2015,96
NA,Counterfeiting/Forgery,July 2015,1
NA,Weapon Law Violations,July 2015,1
NA,Larceny Offenses,June 2015,39
NA,Fraud Offenses,November 2015,30
3,Robbery,June 2015,20
4,Arson,March 2015,4
4,Burglary,June 2015,59
4,Motor Vehicle Theft,August 2015,42
4,Motor Vehicle Theft,January 2015,55
4,Robbery,April 2015,14
3,Counterfeiting/Forgery,October 2015,11
1,Motor Vehicle Theft,January 2015,106
1,Drug/Narcotic Offenses,January 2015,64
2,Counterfeiting/Forgery,December 2015,23
4,Kidnapping/Abduction,December 2015,1
4,Arson,November 2015,6
3,Drug/Narcotic Offenses,October 2015,16
1,Counterfeiting/Forgery,April 2015,18
3,Drug/Narcotic Offenses,August 2015,24
4,Embezzlement,January 2015,4
4,Extortion/Blackmail,January 2015,1
4,Embezzlement,March 2015,6
4,Motor Vehicle Theft,April 2015,59
2,Motor Vehicle Theft,February 2015,42
1,Arson,July 2015,10
4,Embezzlement,October 2015,2
3,Drug/Narcotic Offenses,January 2015,27
4,Prostitution Offenses,October 2015,1
4,Weapon Law Violations,September 2015,5
4,Weapon Law Violations,April 2015,5
4,Counterfeiting/Forgery,September 2015,12
NA,Larceny Offenses,December 2015,40
1,Counterfeiting/Forgery,June 2015,28
1,Animal Cruelty Offenses,June 2015,4
1,Counterfeiting/Forgery,July 2015,28
2,Drug/Narcotic Offenses,April 2015,54
4,Pornography/Obscene Material,November 2015,1
4,Weapon Law Violations,November 2015,5
3,Counterfeiting/Forgery,January 2015,12
1,Weapon Law Violations,September 2015,11
1,Weapon Law Violations,April 2015,9
3,Pornography/Obscene Material,November 2015,1
3,Counterfeiting/Forgery,November 2015,11
NA,Weapon Law Violations,March 2015,5
NA,Vandalism,April 2015,11
NA,Fraud Offenses,August 2015,17
NA,Vandalism,August 2015,5
2,Counterfeiting/Forgery,July 2015,14
2,Counterfeiting/Forgery,May 2015,16
4,Weapon Law Violations,June 2015,5
4,Arson,October 2015,5
4,Pornography/Obscene Material,August 2015,1
1,Embezzlement,February 2015,7
3,Weapon Law Violations,June 2015,9
3,Arson,January 2015,8
4,Extortion/Blackmail,April 2015,1
4,Embezzlement,June 2015,1
NA,Prostitution Offenses,July 2015,2
2,Motor Vehicle Theft,September 2015,53
1,Drug/Narcotic Offenses,November 2015,57
2,Arson,October 2015,2
1,Prostitution Offenses,May 2015,8
1,Prostitution Offenses,September 2015,18
1,Arson,January 2015,6
4,Stolen Property Offenses,March 2015,2
4,Stolen Property Offenses,February 2015,1
4,Embezzlement,February 2015,1
3,Animal Cruelty Offenses,July 2015,2
2,Counterfeiting/Forgery,November 2015,18
2,Drug/Narcotic Offenses,June 2015,21
2,Extortion/Blackmail,February 2015,1
4,Stolen Property Offenses,August 2015,3
4,Arson,July 2015,5
2,Embezzlement,May 2015,5
2,Robbery,April 2015,18
3,Stolen Property Offenses,March 2015,2
4,Stolen Property Offenses,January 2015,4
2,Counterfeiting/Forgery,January 2015,15
4,Weapon Law Violations,January 2015,7
4,Stolen Property Offenses,December 2015,1
4,Embezzlement,April 2015,1
1,Homicide Offenses,June 2015,2
3,Embezzlement,March 2015,2
NA,Fraud Offenses,October 2015,37
NA,Counterfeiting/Forgery,October 2015,1
2,Embezzlement,February 2015,4
2,Counterfeiting/Forgery,September 2015,12
1,Robbery,November 2015,14
