CouncilDistrict,OffenseCategory,ReportMonthYear,CrimeCount
4,Prostitution Offenses,September 2017,8
4,Prostitution Offenses,December 2017,7
4,Embezzlement,October 2017,3
2,Counterfeiting/Forgery,August 2017,16
3,Counterfeiting/Forgery,August 2017,12
1,Weapon Law Violations,December 2017,13
1,Counterfeiting/Forgery,December 2017,19
NA,Counterfeiting/Forgery,September 2017,5
NA,Counterfeiting/Forgery,November 2017,6
NA,Counterfeiting/Forgery,December 2017,7
NA,Fraud Offenses,May 2017,32
NA,Counterfeiting/Forgery,May 2017,2
3,Drug/Narcotic Offenses,May 2017,16
1,Counterfeiting/Forgery,July 2017,20
3,Stolen Property Offenses,December 2017,3
4,Embezzlement,December 2017,1
2,Embezzlement,January 2017,3
2,Human Trafficking Offenses,October 2017,1
1,Stolen Property Offenses,April 2017,3
1,Drug/Narcotic Offenses,August 2017,40
1,Arson,June 2017,3
1,Drug/Narcotic Offenses,December 2017,35
1,Embezzlement,June 2017,2
2,Homicide Offenses,April 2017,1
2,Weapon Law Violations,July 2017,10
3,Arson,April 2017,8
4,Human Trafficking Offenses,April 2017,1
4,Weapon Law Violations,January 2017,5
3,Embezzlement,May 2017,1
3,Kidnapping/Abduction,December 2017,2
1,Weapon Law Violations,February 2017,15
NA,Larceny Offenses,June 2017,43
4,Kidnapping/Abduction,July 2017,3
2,Arson,May 2017,12
2,Arson,July 2017,16
NA,Weapon Law Violations,June 2017,2
2,Stolen Property Offenses,February 2017,1
3,Drug/Narcotic Offenses,July 2017,16
2,Stolen Property Offenses,December 2017,2
2,Weapon Law Violations,December 2017,7
3,Arson,December 2017,5
1,Counterfeiting/Forgery,September 2017,11
NA,Fraud Offenses,June 2017,31
2,Embezzlement,May 2017,2
2,Embezzlement,August 2017,3
2,Extortion/Blackmail,April 2017,2
3,Stolen Property Offenses,September 2017,3
3,Drug/Narcotic Offenses,December 2017,13
2,Arson,August 2017,7
1,Extortion/Blackmail,October 2017,2
2,Embezzlement,June 2017,2
2,Embezzlement,September 2017,4
2,Arson,December 2017,1
3,Counterfeiting/Forgery,September 2017,10
NA,Motor Vehicle Theft,April 2017,3
2,Stolen Property Offenses,January 2017,2
3,Animal Cruelty Offenses,May 2017,2
4,Homicide Offenses,November 2017,2
3,Weapon Law Violations,June 2017,9
4,Arson,January 2017,1
3,Animal Cruelty Offenses,July 2017,2
3,Stolen Property Offenses,June 2017,3
1,Stolen Property Offenses,February 2017,3
4,Extortion/Blackmail,October 2017,1
2,Embezzlement,December 2017,2
1,Extortion/Blackmail,July 2017,1
2,Embezzlement,October 2017,4
1,Arson,April 2017,8
NA,Motor Vehicle Theft,December 2017,4
2,Weapon Law Violations,January 2017,6
4,Arson,February 2017,3
2,Pornography/Obscene Material,February 2017,2
2,Arson,March 2017,9
3,Arson,August 2017,12
2,Arson,September 2017,5
4,Arson,May 2017,7
1,Pornography/Obscene Material,September 2017,1
NA,Drug/Narcotic Offenses,April 2017,5
NA,Drug/Narcotic Offenses,August 2017,2
NA,Drug/Narcotic Offenses,September 2017,4
NA,Motor Vehicle Theft,March 2017,2
3,Extortion/Blackmail,October 2017,1
2,Pornography/Obscene Material,August 2017,1
1,Arson,November 2017,9
3,Arson,February 2017,3
3,Stolen Property Offenses,March 2017,1
4,Stolen Property Offenses,December 2017,2
2,Kidnapping/Abduction,December 2017,1
3,Extortion/Blackmail,February 2017,1
1,Human Trafficking Offenses,May 2017,1
1,Stolen Property Offenses,October 2017,3
3,Weapon Law Violations,August 2017,5
NA,Motor Vehicle Theft,September 2017,3
1,Stolen Property Offenses,March 2017,3
1,Embezzlement,February 2017,1
3,Robbery,March 2017,15
3,Human Trafficking Offenses,June 2017,1
3,Homicide Offenses,April 2017,1
3,Stolen Property Offenses,August 2017,3
1,Arson,October 2017,2
1,Animal Cruelty Offenses,June 2017,1
1,Weapon Law Violations,March 2017,9
3,Embezzlement,November 2017,4
2,Homicide Offenses,June 2017,1
3,Prostitution Offenses,November 2017,1
1,Stolen Property Offenses,December 2017,4
NA,Vandalism,September 2017,7
NA,Vandalism,October 2017,6
3,Homicide Offenses,September 2017,1
1,Kidnapping/Abduction,August 2017,1
3,Prostitution Offenses,May 2017,3
2,Pornography/Obscene Material,May 2017,1
3,Weapon Law Violations,September 2017,4
4,Kidnapping/Abduction,February 2017,1
4,Animal Cruelty Offenses,August 2017,1
2,Weapon Law Violations,September 2017,6
2,Stolen Property Offenses,October 2017,1
2,Homicide Offenses,May 2017,2
1,Prostitution Offenses,April 2017,14
1,Embezzlement,July 2017,3
1,Embezzlement,December 2017,3
NA,Vandalism,March 2017,5
1,Homicide Offenses,May 2017,1
2,Extortion/Blackmail,January 2017,1
2,Arson,February 2017,3
NA,Fraud Offenses,November 2017,25
1,Pornography/Obscene Material,February 2017,1
1,Arson,January 2017,1
1,Arson,December 2017,2
3,Embezzlement,June 2017,1
2,Prostitution Offenses,May 2017,9
2,Arson,October 2017,3
1,Embezzlement,May 2017,3
2,Prostitution Offenses,February 2017,15
2,Prostitution Offenses,August 2017,4
1,Animal Cruelty Offenses,October 2017,1
1,Arson,February 2017,7
NA,Counterfeiting/Forgery,August 2017,1
3,Weapon Law Violations,January 2017,6
2,Arson,April 2017,5
3,Human Trafficking Offenses,September 2017,1
3,Prostitution Offenses,September 2017,1
1,Stolen Property Offenses,July 2017,4
3,Homicide Offenses,December 2017,1
3,Extortion/Blackmail,April 2017,1
3,Pornography/Obscene Material,February 2017,1
3,Pornography/Obscene Material,July 2017,1
NA,Counterfeiting/Forgery,March 2017,4
3,Pornography/Obscene Material,August 2017,1
3,Embezzlement,August 2017,1
1,Embezzlement,November 2017,4
3,Homicide Offenses,February 2017,1
1,Pornography/Obscene Material,March 2017,1
NA,Motor Vehicle Theft,November 2017,1
NA,Vandalism,February 2017,6
3,Embezzlement,March 2017,1
3,Kidnapping/Abduction,November 2017,1
1,Homicide Offenses,December 2017,1
3,Prostitution Offenses,October 2017,1
NA,Counterfeiting/Forgery,April 2017,3
1,Pornography/Obscene Material,December 2017,1
1,Prostitution Offenses,January 2017,2
1,Prostitution Offenses,February 2017,11
1,Prostitution Offenses,May 2017,2
1,Prostitution Offenses,June 2017,12
1,Prostitution Offenses,July 2017,16
1,Prostitution Offenses,October 2017,10
1,Prostitution Offenses,November 2017,10
1,Stolen Property Offenses,November 2017,1
1,Prostitution Offenses,December 2017,7
1,Stolen Property Offenses,August 2017,2
1,Homicide Offenses,July 2017,1
1,Embezzlement,March 2017,1
1,Pornography/Obscene Material,July 2017,1
4,Stolen Property Offenses,September 2017,1
1,Stolen Property Offenses,January 2017,3
1,Human Trafficking Offenses,November 2017,1
1,Extortion/Blackmail,November 2017,1
4,Homicide Offenses,April 2017,1
1,Stolen Property Offenses,June 2017,4
NA,Vandalism,November 2017,5
NA,Prostitution Offenses,August 2017,1
1,Kidnapping/Abduction,December 2017,1
NA,Fraud Offenses,March 2017,22
NA,Drug/Narcotic Offenses,March 2017,4
NA,Weapon Law Violations,March 2017,1
NA,Motor Vehicle Theft,October 2017,3
NA,Human Trafficking Offenses,November 2017,1
1,Homicide Offenses,October 2017,1
1,Animal Cruelty Offenses,December 2017,1
NA,Weapon Law Violations,May 2017,2
NA,Weapon Law Violations,April 2017,1
NA,Fraud Offenses,February 2017,18
NA,Motor Vehicle Theft,May 2017,2
NA,Drug/Narcotic Offenses,February 2017,1
2,Stolen Property Offenses,March 2017,1
3,Prostitution Offenses,June 2017,1
NA,Drug/Narcotic Offenses,May 2017,2
NA,Stolen Property Offenses,September 2017,1
2,Kidnapping/Abduction,June 2017,1
3,Animal Cruelty Offenses,April 2017,1
4,Stolen Property Offenses,July 2017,1
4,Animal Cruelty Offenses,July 2017,1
4,Animal Cruelty Offenses,May 2017,1
4,Homicide Offenses,September 2017,1
4,Animal Cruelty Offenses,June 2017,2
4,Animal Cruelty Offenses,December 2017,1
4,Stolen Property Offenses,March 2017,1
3,Arson,November 2017,1
NA,Drug/Narcotic Offenses,June 2017,2
1,Kidnapping/Abduction,September 2017,1
1,Homicide Offenses,November 2017,1
NA,Human Trafficking Offenses,July 2017,1
1,Stolen Property Offenses,September 2017,1
1,Pornography/Obscene Material,October 2017,1
3,Animal Cruelty Offenses,September 2017,1
NA,Vandalism,April 2017,5
NA,Robbery,May 2017,4
NA,Weapon Law Violations,January 2017,2
NA,Drug/Narcotic Offenses,October 2017,1
NA,Weapon Law Violations,October 2017,1
3,Animal Cruelty Offenses,December 2017,1
NA,Extortion/Blackmail,January 2017,1
NA,Counterfeiting/Forgery,February 2017,3
NA,Robbery,February 2017,1
NA,Robbery,March 2017,2
NA,Robbery,April 2017,1
NA,Prostitution Offenses,April 2017,1
NA,Vandalism,August 2017,7
NA,Robbery,September 2017,2
NA,Pornography/Obscene Material,December 2017,2
NA,Robbery,July 2017,1
NA,Arson,April 2017,1
4,Stolen Property Offenses,May 2017,1
2,Assault Offenses,January 2018,167
4,Assault Offenses,January 2018,171
4,Vandalism,January 2018,150
1,Vandalism,January 2018,163
1,Burglary,January 2018,116
1,Assault Offenses,January 2018,172
2,Vandalism,January 2018,130
3,Assault Offenses,January 2018,120
1,Fraud Offenses,January 2018,99
1,Counterfeiting/Forgery,January 2018,19
1,Weapon Law Violations,January 2018,27
3,Robbery,January 2018,26
4,Sex Offenses,January 2018,13
4,Larceny Offenses,January 2018,646
2,Sex Offenses,January 2018,18
3,Sex Offenses,January 2018,11
3,Larceny Offenses,January 2018,516
1,Sex Offenses,January 2018,18
NA,Sex Offenses,January 2018,7
2,Burglary,January 2018,93
1,Larceny Offenses,January 2018,597
2,Larceny Offenses,January 2018,504
NA,Assault Offenses,January 2018,3
NA,Larceny Offenses,January 2018,25
4,Counterfeiting/Forgery,January 2018,11
3,Vandalism,January 2018,129
3,Fraud Offenses,January 2018,100
1,Robbery,January 2018,35
2,Fraud Offenses,January 2018,102
3,Burglary,January 2018,102
2,Robbery,January 2018,27
3,Counterfeiting/Forgery,January 2018,15
4,Fraud Offenses,January 2018,104
2,Drug/Narcotic Offenses,January 2018,29
2,Weapon Law Violations,January 2018,14
1,Drug/Narcotic Offenses,January 2018,35
3,Motor Vehicle Theft,January 2018,189
4,Weapon Law Violations,January 2018,16
1,Kidnapping/Abduction,January 2018,2
2,Assault Offenses,February 2018,129
1,Assault Offenses,February 2018,157
1,Vandalism,February 2018,113
3,Assault Offenses,February 2018,120
3,Drug/Narcotic Offenses,February 2018,20
3,Sex Offenses,February 2018,16
1,Kidnapping/Abduction,February 2018,1
4,Assault Offenses,February 2018,154
4,Drug/Narcotic Offenses,February 2018,69
NA,Vandalism,February 2018,2
3,Larceny Offenses,February 2018,433
2,Vandalism,February 2018,114
2,Robbery,February 2018,20
1,Sex Offenses,February 2018,12
1,Drug/Narcotic Offenses,February 2018,34
1,Larceny Offenses,February 2018,436
3,Vandalism,February 2018,126
3,Burglary,February 2018,103
1,Weapon Law Violations,February 2018,11
1,Robbery,February 2018,28
NA,Sex Offenses,February 2018,5
2,Sex Offenses,February 2018,9
4,Sex Offenses,February 2018,8
4,Extortion/Blackmail,February 2018,1
4,Vandalism,February 2018,115
3,Kidnapping/Abduction,February 2018,1
4,Larceny Offenses,February 2018,583
4,Fraud Offenses,February 2018,111
1,Burglary,February 2018,78
1,Human Trafficking Offenses,January 2018,1
2,Counterfeiting/Forgery,February 2018,12
2,Stolen Property Offenses,February 2018,2
2,Weapon Law Violations,February 2018,10
2,Kidnapping/Abduction,February 2018,1
1,Motor Vehicle Theft,February 2018,169
2,Motor Vehicle Theft,February 2018,90
NA,Assault Offenses,February 2018,3
2,Animal Cruelty Offenses,February 2018,1
2,Larceny Offenses,February 2018,424
3,Fraud Offenses,February 2018,87
1,Assault Offenses,March 2018,182
NA,Assault Offenses,March 2018,7
1,Vandalism,March 2018,131
2,Assault Offenses,March 2018,143
2,Larceny Offenses,March 2018,444
3,Assault Offenses,March 2018,116
2,Vandalism,March 2018,101
2,Fraud Offenses,March 2018,101
4,Assault Offenses,March 2018,175
1,Fraud Offenses,February 2018,88
3,Larceny Offenses,March 2018,464
4,Larceny Offenses,March 2018,602
4,Vandalism,March 2018,143
2,Sex Offenses,March 2018,10
4,Sex Offenses,March 2018,12
1,Sex Offenses,March 2018,13
1,Weapon Law Violations,March 2018,27
3,Sex Offenses,March 2018,14
1,Fraud Offenses,March 2018,114
1,Larceny Offenses,March 2018,495
1,Pornography/Obscene Material,March 2018,2
NA,Sex Offenses,March 2018,12
1,Burglary,March 2018,76
1,Kidnapping/Abduction,March 2018,5
1,Robbery,March 2018,35
1,Drug/Narcotic Offenses,March 2018,40
3,Vandalism,March 2018,123
4,Weapon Law Violations,March 2018,7
3,Robbery,March 2018,14
4,Burglary,March 2018,68
4,Fraud Offenses,March 2018,107
3,Weapon Law Violations,March 2018,11
2,Burglary,March 2018,59
2,Counterfeiting/Forgery,March 2018,6
2,Weapon Law Violations,March 2018,13
3,Fraud Offenses,March 2018,91
4,Robbery,March 2018,17
1,Motor Vehicle Theft,March 2018,210
3,Motor Vehicle Theft,March 2018,193
2,Robbery,March 2018,21
NA,Larceny Offenses,March 2018,22
4,Kidnapping/Abduction,March 2018,3
3,Kidnapping/Abduction,March 2018,3
2,Stolen Property Offenses,March 2018,1
1,Assault Offenses,April 2018,184
1,Weapon Law Violations,April 2018,14
3,Assault Offenses,April 2018,134
4,Assault Offenses,April 2018,143
2,Assault Offenses,April 2018,143
3,Vandalism,April 2018,117
NA,Assault Offenses,April 2018,8
4,Sex Offenses,April 2018,14
3,Larceny Offenses,April 2018,501
3,Burglary,April 2018,91
1,Sex Offenses,April 2018,13
2,Larceny Offenses,April 2018,476
2,Sex Offenses,April 2018,13
4,Fraud Offenses,April 2018,118
4,Vandalism,April 2018,148
1,Kidnapping/Abduction,April 2018,1
1,Vandalism,April 2018,147
1,Fraud Offenses,April 2018,109
1,Larceny Offenses,April 2018,503
3,Robbery,April 2018,14
2,Vandalism,April 2018,127
3,Fraud Offenses,April 2018,106
3,Sex Offenses,April 2018,8
4,Larceny Offenses,April 2018,620
2,Fraud Offenses,April 2018,117
2,Kidnapping/Abduction,April 2018,2
NA,Sex Offenses,April 2018,6
4,Weapon Law Violations,April 2018,10
NA,Fraud Offenses,March 2018,32
3,Pornography/Obscene Material,April 2018,2
4,Motor Vehicle Theft,April 2018,70
4,Robbery,April 2018,16
2,Drug/Narcotic Offenses,April 2018,28
4,Burglary,April 2018,80
2,Burglary,April 2018,68
3,Weapon Law Violations,April 2018,12
1,Counterfeiting/Forgery,April 2018,23
3,Arson,April 2018,4
2,Weapon Law Violations,April 2018,11
4,Drug/Narcotic Offenses,April 2018,46
NA,Vandalism,April 2018,5
1,Robbery,May 2018,33
2,Assault Offenses,May 2018,150
1,Motor Vehicle Theft,May 2018,204
1,Assault Offenses,May 2018,248
4,Assault Offenses,May 2018,180
3,Assault Offenses,May 2018,126
4,Larceny Offenses,May 2018,508
4,Sex Offenses,May 2018,11
2,Kidnapping/Abduction,May 2018,1
1,Burglary,April 2018,82
2,Robbery,April 2018,15
3,Counterfeiting/Forgery,April 2018,10
4,Drug/Narcotic Offenses,May 2018,69
NA,Sex Offenses,May 2018,10
1,Vandalism,May 2018,170
2,Sex Offenses,May 2018,9
NA,Embezzlement,May 2018,1
3,Sex Offenses,May 2018,12
4,Weapon Law Violations,May 2018,11
1,Sex Offenses,May 2018,20
1,Burglary,May 2018,92
2,Arson,May 2018,6
2,Vandalism,May 2018,122
2,Fraud Offenses,May 2018,71
2,Larceny Offenses,May 2018,430
1,Larceny Offenses,May 2018,478
4,Burglary,May 2018,85
3,Larceny Offenses,May 2018,468
NA,Assault Offenses,May 2018,10
3,Vandalism,May 2018,150
2,Burglary,May 2018,98
2,Robbery,May 2018,16
1,Fraud Offenses,May 2018,112
1,Kidnapping/Abduction,May 2018,4
2,Pornography/Obscene Material,May 2018,1
1,Pornography/Obscene Material,May 2018,4
4,Kidnapping/Abduction,May 2018,2
3,Motor Vehicle Theft,May 2018,156
1,Weapon Law Violations,May 2018,22
3,Fraud Offenses,May 2018,67
NA,Human Trafficking Offenses,May 2018,1
3,Burglary,May 2018,112
2,Drug/Narcotic Offenses,May 2018,33
NA,Larceny Offenses,May 2018,27
1,Arson,May 2018,10
2,Counterfeiting/Forgery,May 2018,14
3,Assault Offenses,June 2018,132
4,Assault Offenses,June 2018,180
2,Assault Offenses,June 2018,161
1,Assault Offenses,June 2018,206
NA,Kidnapping/Abduction,May 2018,1
4,Weapon Law Violations,June 2018,12
3,Vandalism,June 2018,132
1,Counterfeiting/Forgery,May 2018,25
2,Sex Offenses,June 2018,18
1,Burglary,June 2018,112
3,Larceny Offenses,June 2018,513
NA,Sex Offenses,June 2018,6
1,Vandalism,June 2018,143
2,Vandalism,June 2018,117
NA,Assault Offenses,June 2018,12
NA,Burglary,June 2018,3
2,Larceny Offenses,June 2018,529
3,Drug/Narcotic Offenses,June 2018,28
4,Larceny Offenses,June 2018,506
1,Larceny Offenses,June 2018,510
4,Sex Offenses,June 2018,17
1,Motor Vehicle Theft,June 2018,210
3,Weapon Law Violations,June 2018,12
3,Fraud Offenses,June 2018,80
3,Sex Offenses,June 2018,9
1,Sex Offenses,June 2018,15
NA,Fraud Offenses,June 2018,24
NA,Pornography/Obscene Material,June 2018,1
1,Weapon Law Violations,June 2018,16
4,Kidnapping/Abduction,June 2018,3
1,Arson,June 2018,3
2,Weapon Law Violations,June 2018,17
2,Fraud Offenses,June 2018,83
4,Robbery,June 2018,27
2,Robbery,June 2018,19
4,Vandalism,June 2018,129
1,Kidnapping/Abduction,June 2018,3
1,Robbery,June 2018,14
2,Drug/Narcotic Offenses,June 2018,36
3,Robbery,June 2018,17
4,Fraud Offenses,June 2018,74
1,Fraud Offenses,June 2018,75
1,Assault Offenses,July 2018,223
4,Sex Offenses,July 2018,19
1,Pornography/Obscene Material,July 2018,1
4,Assault Offenses,July 2018,192
3,Assault Offenses,July 2018,144
1,Vandalism,July 2018,140
2,Assault Offenses,July 2018,168
4,Weapon Law Violations,July 2018,13
3,Kidnapping/Abduction,July 2018,1
2,Kidnapping/Abduction,July 2018,1
2,Sex Offenses,July 2018,14
3,Sex Offenses,July 2018,12
4,Extortion/Blackmail,July 2018,1
2,Vandalism,July 2018,103
4,Burglary,June 2018,85
NA,Sex Offenses,July 2018,7
3,Vandalism,July 2018,108
1,Sex Offenses,July 2018,17
4,Motor Vehicle Theft,July 2018,54
4,Drug/Narcotic Offenses,July 2018,50
2,Motor Vehicle Theft,July 2018,151
4,Vandalism,July 2018,151
2,Larceny Offenses,July 2018,569
1,Larceny Offenses,July 2018,513
4,Larceny Offenses,July 2018,528
3,Larceny Offenses,July 2018,534
1,Fraud Offenses,July 2018,84
3,Robbery,July 2018,20
1,Counterfeiting/Forgery,July 2018,28
2,Robbery,July 2018,19
4,Burglary,July 2018,78
1,Kidnapping/Abduction,July 2018,3
1,Robbery,July 2018,22
NA,Assault Offenses,July 2018,7
3,Weapon Law Violations,July 2018,9
4,Robbery,July 2018,16
2,Fraud Offenses,July 2018,76
2,Burglary,July 2018,98
4,Fraud Offenses,July 2018,70
1,Burglary,July 2018,102
1,Drug/Narcotic Offenses,July 2018,42
NA,Fraud Offenses,July 2018,31
NA,Larceny Offenses,July 2018,35
3,Assault Offenses,August 2018,147
3,Vandalism,August 2018,127
1,Assault Offenses,August 2018,227
2,Assault Offenses,August 2018,171
4,Assault Offenses,August 2018,183
1,Sex Offenses,August 2018,14
1,Robbery,August 2018,23
NA,Human Trafficking Offenses,February 2018,2
2,Vandalism,August 2018,111
3,Counterfeiting/Forgery,July 2018,12
4,Counterfeiting/Forgery,July 2018,11
1,Vandalism,August 2018,111
4,Sex Offenses,August 2018,12
2,Larceny Offenses,August 2018,582
3,Sex Offenses,August 2018,10
NA,Assault Offenses,August 2018,10
3,Larceny Offenses,August 2018,451
2,Pornography/Obscene Material,August 2018,1
1,Weapon Law Violations,August 2018,20
1,Larceny Offenses,August 2018,487
2,Weapon Law Violations,August 2018,12
4,Burglary,August 2018,78
4,Vandalism,August 2018,122
4,Larceny Offenses,August 2018,554
3,Burglary,August 2018,133
2,Robbery,August 2018,30
3,Counterfeiting/Forgery,August 2018,9
1,Fraud Offenses,August 2018,54
2,Sex Offenses,August 2018,9
4,Prostitution Offenses,July 2018,2
1,Pornography/Obscene Material,August 2018,4
2,Kidnapping/Abduction,August 2018,1
3,Arson,August 2018,9
4,Robbery,August 2018,27
NA,Pornography/Obscene Material,August 2018,1
2,Drug/Narcotic Offenses,August 2018,28
4,Weapon Law Violations,August 2018,5
4,Fraud Offenses,August 2018,80
3,Robbery,August 2018,14
1,Human Trafficking Offenses,August 2018,1
1,Kidnapping/Abduction,August 2018,3
NA,Sex Offenses,August 2018,5
3,Drug/Narcotic Offenses,August 2018,31
1,Burglary,August 2018,97
2,Assault Offenses,September 2018,183
1,Assault Offenses,September 2018,204
3,Assault Offenses,September 2018,153
2,Drug/Narcotic Offenses,September 2018,22
4,Assault Offenses,September 2018,190
4,Animal Cruelty Offenses,September 2018,1
NA,Embezzlement,August 2018,1
4,Sex Offenses,September 2018,14
1,Motor Vehicle Theft,August 2018,199
1,Larceny Offenses,September 2018,424
1,Burglary,September 2018,108
2,Arson,September 2018,6
2,Weapon Law Violations,September 2018,11
NA,Sex Offenses,September 2018,7
1,Vandalism,September 2018,132
1,Robbery,September 2018,24
NA,Human Trafficking Offenses,August 2018,4
3,Vandalism,September 2018,124
4,Vandalism,September 2018,143
2,Vandalism,September 2018,112
2,Sex Offenses,September 2018,13
NA,Larceny Offenses,September 2018,20
4,Larceny Offenses,September 2018,512
3,Kidnapping/Abduction,September 2018,1
3,Sex Offenses,September 2018,16
NA,Assault Offenses,September 2018,11
NA,Weapon Law Violations,September 2018,1
1,Sex Offenses,September 2018,10
NA,Drug/Narcotic Offenses,September 2018,2
3,Burglary,September 2018,105
2,Counterfeiting/Forgery,September 2018,10
2,Fraud Offenses,September 2018,67
4,Robbery,September 2018,22
4,Kidnapping/Abduction,September 2018,4
2,Larceny Offenses,September 2018,530
3,Larceny Offenses,September 2018,531
1,Motor Vehicle Theft,September 2018,179
1,Fraud Offenses,September 2018,74
1,Kidnapping/Abduction,September 2018,3
4,Fraud Offenses,September 2018,62
2,Burglary,September 2018,113
2,Robbery,September 2018,23
3,Fraud Offenses,September 2018,63
4,Assault Offenses,October 2018,192
1,Assault Offenses,October 2018,195
3,Assault Offenses,October 2018,123
NA,Human Trafficking Offenses,October 2018,1
3,Kidnapping/Abduction,October 2018,2
2,Assault Offenses,October 2018,156
3,Weapon Law Violations,October 2018,5
1,Burglary,October 2018,108
1,Vandalism,October 2018,130
1,Larceny Offenses,October 2018,471
NA,Sex Offenses,October 2018,9
2,Human Trafficking Offenses,October 2018,1
2,Weapon Law Violations,October 2018,16
4,Larceny Offenses,October 2018,570
1,Sex Offenses,October 2018,18
4,Sex Offenses,October 2018,20
2,Larceny Offenses,October 2018,553
3,Larceny Offenses,October 2018,501
3,Sex Offenses,October 2018,11
2,Sex Offenses,October 2018,16
1,Motor Vehicle Theft,October 2018,238
1,Drug/Narcotic Offenses,October 2018,39
1,Weapon Law Violations,October 2018,18
1,Fraud Offenses,October 2018,96
1,Kidnapping/Abduction,October 2018,4
2,Vandalism,October 2018,123
3,Motor Vehicle Theft,October 2018,153
2,Burglary,October 2018,87
3,Vandalism,October 2018,134
4,Arson,October 2018,11
4,Fraud Offenses,October 2018,88
4,Vandalism,October 2018,127
NA,Fraud Offenses,October 2018,26
3,Robbery,October 2018,18
4,Burglary,October 2018,79
1,Robbery,October 2018,34
1,Stolen Property Offenses,October 2018,4
4,Extortion/Blackmail,October 2018,3
NA,Human Trafficking Offenses,June 2018,1
2,Robbery,October 2018,24
NA,Larceny Offenses,October 2018,38
1,Assault Offenses,November 2018,184
1,Vandalism,November 2018,121
NA,Assault Offenses,November 2018,10
NA,Kidnapping/Abduction,November 2018,1
NA,Weapon Law Violations,November 2018,2
3,Assault Offenses,November 2018,139
2,Assault Offenses,November 2018,154
NA,Sex Offenses,November 2018,5
4,Assault Offenses,November 2018,148
1,Sex Offenses,November 2018,15
2,Sex Offenses,November 2018,13
3,Counterfeiting/Forgery,October 2018,12
3,Extortion/Blackmail,October 2018,2
4,Vandalism,November 2018,163
2,Robbery,November 2018,20
3,Weapon Law Violations,November 2018,5
1,Burglary,November 2018,61
1,Larceny Offenses,November 2018,484
4,Larceny Offenses,November 2018,540
2,Vandalism,November 2018,129
3,Robbery,November 2018,21
3,Vandalism,November 2018,113
4,Sex Offenses,November 2018,13
2,Larceny Offenses,November 2018,522
2,Fraud Offenses,November 2018,60
1,Drug/Narcotic Offenses,November 2018,37
4,Burglary,November 2018,61
3,Sex Offenses,November 2018,6
1,Animal Cruelty Offenses,November 2018,1
1,Weapon Law Violations,November 2018,23
2,Burglary,November 2018,81
2,Drug/Narcotic Offenses,November 2018,16
1,Fraud Offenses,November 2018,78
4,Weapon Law Violations,November 2018,10
3,Drug/Narcotic Offenses,November 2018,21
3,Motor Vehicle Theft,November 2018,164
2,Kidnapping/Abduction,November 2018,1
3,Extortion/Blackmail,November 2018,1
3,Pornography/Obscene Material,November 2018,1
1,Kidnapping/Abduction,November 2018,3
1,Assault Offenses,December 2018,159
2,Assault Offenses,December 2018,157
3,Assault Offenses,December 2018,134
3,Vandalism,December 2018,100
1,Vandalism,December 2018,118
2,Vandalism,December 2018,137
4,Assault Offenses,December 2018,161
3,Motor Vehicle Theft,December 2018,157
2,Kidnapping/Abduction,December 2018,1
3,Weapon Law Violations,December 2018,7
2,Animal Cruelty Offenses,November 2018,1
3,Sex Offenses,December 2018,5
1,Larceny Offenses,December 2018,498
4,Larceny Offenses,December 2018,508
NA,Sex Offenses,December 2018,4
2,Sex Offenses,December 2018,11
2,Robbery,December 2018,20
1,Sex Offenses,December 2018,7
1,Burglary,December 2018,66
4,Sex Offenses,December 2018,19
2,Larceny Offenses,December 2018,500
NA,Larceny Offenses,December 2018,19
2,Burglary,December 2018,108
NA,Assault Offenses,December 2018,3
3,Kidnapping/Abduction,December 2018,3
3,Larceny Offenses,December 2018,442
1,Robbery,December 2018,33
4,Vandalism,December 2018,119
1,Fraud Offenses,December 2018,84
1,Weapon Law Violations,December 2018,17
3,Drug/Narcotic Offenses,December 2018,28
3,Robbery,December 2018,11
4,Burglary,December 2018,73
NA,Vandalism,December 2018,4
4,Weapon Law Violations,December 2018,13
3,Pornography/Obscene Material,December 2018,1
NA,Prostitution Offenses,October 2018,1
4,Drug/Narcotic Offenses,October 2018,43
3,Pornography/Obscene Material,October 2018,3
2,Human Trafficking Offenses,August 2018,1
4,Robbery,February 2018,20
4,Robbery,November 2018,29
2,Motor Vehicle Theft,April 2018,96
2,Homicide Offenses,October 2018,2
2,Motor Vehicle Theft,June 2018,130
2,Motor Vehicle Theft,August 2018,163
2,Motor Vehicle Theft,October 2018,160
2,Motor Vehicle Theft,December 2018,160
2,Counterfeiting/Forgery,August 2018,18
2,Kidnapping/Abduction,June 2018,1
2,Fraud Offenses,October 2018,64
3,Burglary,July 2018,114
3,Motor Vehicle Theft,April 2018,144
3,Burglary,March 2018,105
3,Motor Vehicle Theft,February 2018,165
3,Motor Vehicle Theft,August 2018,193
3,Larceny Offenses,November 2018,497
3,Motor Vehicle Theft,June 2018,171
3,Burglary,November 2018,89
3,Robbery,February 2018,21
3,Robbery,September 2018,16
3,Fraud Offenses,November 2018,74
3,Counterfeiting/Forgery,December 2018,11
3,Counterfeiting/Forgery,November 2018,13
1,Motor Vehicle Theft,January 2018,248
1,Pornography/Obscene Material,November 2018,2
2,Motor Vehicle Theft,September 2018,166
2,Motor Vehicle Theft,May 2018,122
2,Embezzlement,December 2018,2
2,Arson,November 2018,6
