timestamp,currentCourse,statsBefore,classStanding,numCourses,major,residentialCollege,GPA,gender,hoursStudying,birthMonth,age,height,shoeSize,weight,calories,hoursExercise,sleepTime,sleepDuration,socialMedia,smartPhones,baseball,football,basketball,hockey,politics,religous,Kinsey,happyCampus,happyCity,anxiousCourse,highSchool,prepared,drugUse,firstGeneration,languages,safety,makingFriends,campusTeam,officeHours,studyGroups,retirement,happiness,intelligence,attractiveness,favColor,favNumber,showers,brushing,flossing,washHair,finAidInfluence,futureCareer,numSiblings,favMovie,loneliness,tidyness,highSchoolGPA,SAT,activeCampus,numFriends,studyMusic,familyInfluence,campusLiving,jobBool,campusGroups,attendance,pancakesWaffles,coffeeTea,dogsCats,oceanSnow,pineapplePizza,campusAcceptance,hoursSocialMedia,continents,superhero,supervillain,season,handedness,safety2,laundry,favClass,favProfessor,anxiousSurvey
2024-09-03 13:09:05 UTC,SML 201,Yes: AP Statistics,Senior,25,other,New College West,3.408,Male,24,July,21,66,8,100,1800,2,12 midnight,5,Instagram,iPhone,Arizona Diamondbacks,Arizona Cardinals,Golden State Warriors,New York Rangers,90,90,0,100,100,0,public school,50,No,No,2.2,100,33,No,70,80,NA,80,70,75,lime green,4,5,10,1,5,100,50,1,Interstellar,80,80,4,1500,40,10,Yes,0,Yes,No,Yes,90,Waffles,coffee,Cats,snow,tolerable,100,30,2,Jesus,Satan,Winter,right-handed,100,4,MAT 306,Biao Lian,100
2024-09-04 00:17:13 UTC,SML 201,No,Sophomore,10,Computer Science,New College West,3.6,Male,25,April,19,68,10,160,2700,5,1 AM,6,Instagram,iPhone,NA,NA,NA,NA,20,15,5,77,82,33,public school,75,No,Yes,3.3,95,62,No,84,52,Yes,82,64,69,Forest Green,51,6,10,0,4,100,51,1,In Bruges,19,83,100.574,1530,32,40,Yes,0,Yes,Yes,Yes,20,Pancakes,tea,Cats,snow,Yes!,85,3,4,NA,NA,Spring,right-handed,94,3,SPA233,David Villalobos,87
2024-09-03 20:05:46 UTC,SML 201,No,Sophomore,9,Molecular Biology,New College West,3.2,Female,40,August,19,60,7,110,NA,NA,10 PM,9,"Pinterest,Tumblr,Twitter (X)",iPhone,NA,NA,NA,NA,NA,NA,NA,90,NA,30,public school,50,No,No,2,100,80,No,100,NA,No,70,NA,NA,NA,7,7,14,7,7,80,90,2,NA,NA,70,3.9,1550,NA,NA,Yes,20,Yes,No,Yes,100,Pancakes,tea,Cats,ocean,tolerable,75,3,2,NA,NA,Summer,right-handed,100,4,EEB211,NA,90
2024-09-03 18:36:00 UTC,SML 201,No,Junior,18,Computer Science,Butler,3.6,Male,15,June,21,74,12,195,3000,12,12 midnight,8,Instagram,iPhone,Boston Red Sox,San Francisco 49ers,Houston Rockets,New York Rangers,0,0,2,70,70,25,private school,90,Yes,No,1.4,98,90,Yes: athletic scholarship,25,50,Yes,80,90,85,Forest Green,44,13,14,12,5,0,55,2,Banshees of Inisherin,10,80,4,1490,65,40,Yes,0,Yes,No,Yes,85,Waffles,coffee,Dogs,snow,tolerable,95,2,3,"Doctor Fate, Baymax",Ra’s al Ghul,Spring,right-handed,98,10,EAS 310,Professor Vreeland,100
2024-09-02 18:25:51 UTC,SML 201,No,Sophomore,9,Molecular Biology,Yeh College,3.84,Female,20,August,19,64,8,118,1500,3,11 PM,7,Instagram,iPhone,"New York Mets,New York Yankees","New York Giants,Philadelphia Eagles",Miami Heat,New York Rangers,70,20,0,40,26,91,public school,34,No,Yes,2,90,60,No,90,80,No,95,35,50,Baby blue,5,7,14,2,5,100,40,2,Hidden Figures,70,80,3.9,1470,40,8,Yes,90,No,No,Yes,80,Waffles,tea,Cats,ocean,tolerable,80,7,2,Iron man,Joker,Fall,right-handed,90,4,MOL 214,Karin McDonald,80
2024-09-03 14:37:44 UTC,SML 201,Yes: AP Statistics,Sophomore,9,Molecular Biology,Forbes,3.92,Female,8,September,18,63,7,109,2100,2,1 AM,7,"Instagram,LinkedIn",iPhone,"Baltimore Orioles,Boston Red Sox,Los Angeles Dodgers,New York Yankees","Chicago Bears,Cincinnati Bengals,Philadelphia Eagles","Boston Celtics,Golden State Warriors,Miami Heat",New Jersey Devils,33,70,0,70,70,40,public school,80,No,No,4,100,70,No,90,50,No,85,100,100,Green,7,7,14,7,4,50,90,0,Ocean's 8,30,60,4,1570,40,10,No,60,Yes,Yes,Yes,90,Waffles,tea,Dogs,snow,tolerable,80,2,3,Spiderman,Maleficent,Spring,right-handed,100,4,MOL 214,Kaylee Cappucchio ,100
2024-09-05 01:55:15 UTC,SML 201,Yes: AP Statistics,Sophomore,8,Molecular Biology,New College West,3.63,Female,25,June,19,63,6,115,2000,7,12 midnight,6,"Instagram,LinkedIn,Pinterest",iPhone,"Boston Red Sox,Washington Nationals","San Francisco 49ers,Washington Redskins","Golden State Warriors,Los Angeles Lakers",Washington Capitals,40,20,0,40,40,80,public school,5,No,No,1.5,95,70,No,90,30,No,30,60,60,Blue,8,7,14,7,7,0,20,1,Forrest Gump,70,70,4,1590,5,15,Yes,80,Yes,No,No,95,Pancakes,coffee,Dogs,snow,Yes!,80,2,3,Spiderman,The Joker,Summer,right-handed,95,4,CHI 108,Vincent Rinaolo - CHM 202,99
2024-09-06 01:44:38 UTC,SML 201,Yes: AP Statistics,Sophomore,8,Molecular Biology,Yeh College,3.2,Female,20,July,20,65,7,120,2000,3,12 midnight,7.5,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,45,30,1,70,50,70,public school,20,No,Yes,2.5,80,70,Yes: sports club,100,50,No,70,50,50,Red,49,7,14,14,7,0,70,0,Shrek 2,40,80,4,1550,50,10,Yes,70,Yes,No,Yes,90,Pancakes,coffee,Cats,snow,Yes!,90,1.5,3,Batman,Lex Luthor,Fall,right-handed,80,5,MOL214,Professor Vreeland,100
2024-09-03 21:55:32 UTC,SML 201,Yes: AP Statistics,Junior,17,Computer Science,Forbes,3.868,Male,20,February,20,69,10.5,145,2000,2,2 AM,7,Instagram,iPhone,NA,Carolina Panthers,NA,NA,50,50,0,60,60,35,public school,50,No,No,1.3,95,40,No,60,50,Yes,60,80,35,blue,9,6,14,4,6,0,30,1,NA,70,50,4.2,1510,20,20,Yes,10,Yes,No,No,100,Pancakes,(neither),Cats,snow,No!,50,10,2,NA,NA,Fall,right-handed,100,4,COS 126,Louis Esser,90
2024-09-05 14:32:39 UTC,SML 201,Yes: a (non-AP) Statistics course in high school,Freshman,0,other,New College West,0,Female,40,January,18,62,8,115,1500,2,11 PM,7,Instagram,Android,Philadelphia Phillies,New York Giants,Chicago Bulls,Arizona Coyotes,30,0,0,80,90,50,public school,70,No,No,4.5,80,40,No,70,60,No,60,50,50,black,0,6,7,3,4,90,70,1,fantastic beasts and where to find them,40,70,4,1600,40,10,Yes,30,Yes,No,No,100,Pancakes,coffee,Dogs,snow,No!,40,1,3,iron man,voldemort,Winter,right-handed,70,4,Music 105,Professor Esser,70
