INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
University of North Carolina at Asheville,2803,NC,35.617068,-82.565392,0.7431,0.5867,0.686,44030,70397151
University of North Carolina at Chapel Hill,19921,NC,35.911769,-79.050969,0.1711,0.9132,0.9598,72200,5166499366
University of North Carolina at Charlotte,23063,NC,35.306022,-80.730919,0.7964,0.6996,0.8363,57289,299096548
University of North Carolina at Greensboro,13862,NC,36.068236,-79.809414,0.9194,0.5799,0.7329,48160,394717536
North Carolina Central University,5101,NC,35.974237,-78.898602,0.8438,0.4424,0.7632,42968,55851080
University of North Carolina School of the Arts,915,NC,36.076183,-80.235672,0.3178,0.8169,0.9327,38357,121774566
North Carolina State University at Raleigh,25109,NC,35.785111,-78.674517,0.4717,0.8463,0.9377,68758,1946242000
North Carolina Wesleyan University,1204,NC,36.019665,-77.773982,0.6843,0.3836,0.6632,45873,14672379
University of North Carolina Wilmington,13960,NC,34.225223,-77.875527,0.6883,0.7428,0.8261,54967,142918881
William Peace University,640,NC,35.789139,-78.637697,0.6318,0.4286,0.6016,46643,55962976
University of North Carolina at Pembroke,5544,NC,34.688313,-79.200347,0.8974,0.4517,0.7163,43407,32759600
Pfeiffer University,683,NC,35.484696,-80.283168,0.6905,0.3464,0.6138,51562,16324708
Queens University of Charlotte,1301,NC,35.189051,-80.833509,0.7127,0.6859,0.7172,57673,185228576
Mid-Atlantic Christian University,125,NC,36.303812,-76.216483,0.6333,0.4348,0.5294,38342,4089235
Saint Augustine's University,937,NC,35.785468,-78.621301,0.5885,0.2035,0.6376,35730,20117082
Salem College,331,NC,36.086271000000004,-80.241297,0.8749,0.6176,0.7333,44640,67245955
Shaw University,918,NC,35.771181,-78.637693,0.6103,0.1375,0.5674,34409,12216763
St. Andrews University,780,NC,34.74563,-79.478567,0.648,0.2768,0.5909,45606,7995148
Wake Forest University,5446,NC,36.133609,-80.277446,0.2137,0.8964,0.9376,78158,1862910000
Warren Wilson College,697,NC,35.610328,-82.442619,0.8398,0.4486,0.6933,36260,59932500
Wingate University,2509,NC,34.986064,-80.44305,0.8615,0.573,0.6891,52649,119206869
Winston-Salem State University,4449,NC,36.089554,-80.225033,0.7339,0.4957,0.7684,45344,50570116
Western Carolina University,9809,NC,35.308979,-83.186258,0.8484,0.6059,0.7131,49458,124318482
Dickinson State University,1148,ND,46.882917,-102.799679,0.7202,0.4444,0.5736,50720,9552225
University of Jamestown,968,ND,46.914302,-98.698416,0.9204,0.4885,0.6751,56621,45386661
