INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
Pennsylvania College of Art and Design,236,PA,40.041152,-76.308769,0.4431,0.6,0.6053,33301,2750203
University of Pennsylvania,10572,PA,39.950929,-75.19391,0.065,0.9609,0.9837,111371,20523546000
The University of the Arts,1160,PA,39.946017,-75.165888,0.8002,0.6602,0.7963,38252,67050163
Cairn University-Langhorne,780,PA,40.165809,-74.909509,0.8098,0.5586,0.7922,44172,15547000
University of Pittsburgh-Bradford,1051,PA,41.943415,-78.673701,0.9355,0.4165,0.7056,66125,313317
University of Pittsburgh-Greensburg,1323,PA,40.276447,-79.532676,0.976,0.3863,0.633,66125,7665376
University of Pittsburgh-Johnstown,2039,PA,40.265957,-78.834163,0.9741,0.4832,0.7641,66125,61957922
University of Pittsburgh-Pittsburgh Campus,19954,PA,40.444387999999996,-79.953254,0.4914,0.8371,0.9266,66125,5608606766
Point Park University,2410,PA,40.438768,-80.002061,0.8205,0.5877,0.7271,45856,57517336
Robert Morris University,2738,PA,40.520415,-80.210468,0.9377,0.6475,0.8152,62105,48241448
Rosemont College,446,PA,40.033417,-75.32925,0.7558,0.4317,0.82,48555,17326929
Saint Francis University,1639,PA,40.506734,-78.63904,0.7305,0.7164,0.8532,62101,64341237
Saint Joseph's University,4978,PA,39.994442,-75.238343,0.8868,0.8205,0.8575,86881,543667164
Saint Vincent College,1335,PA,40.29265,-79.403762,0.7337,0.7615,0.84,59982,136885605
University of Scranton,3515,PA,41.406556,-75.656915,0.8435,0.7994,0.8512,74652,282234887
Seton Hill University,1615,PA,40.309407,-79.557433,0.7834,0.7163,0.7966,51748,55530926
Shippensburg University of Pennsylvania,4283,PA,40.057933,-77.522335,0.878,0.5018,0.6854,56351,56589014
Slippery Rock University of Pennsylvania,6707,PA,41.062719,-80.045965,0.7433,0.6647,0.8231,53032,46229443
Saint Charles Borromeo Seminary-Overbrook,32,PA,39.99133,-75.255675,0.75,0.5882,0.8333,55225,20653494
Susquehanna University,2139,PA,40.797502,-76.875329,0.7669,0.7567,0.8541,61723,205545940
Swarthmore College,1619,PA,39.905159,-75.354278,0.0693,0.9372,0.9604,80257,2899311000
Temple University,23697,PA,39.980546,-75.156859,0.797,0.7791,0.8424,63727,873166000
Thiel College,776,PA,41.41354,-80.384383,0.8232,0.4332,0.7083,49714,41621858
Thomas Jefferson University,3739,PA,39.948274,-75.158266,0.8885,0.6756,0.817,77449,1533163000
Ursinus College,1505,PA,40.193023,-75.456505,0.8221,0.7304,0.8245,73721,158993585
University of Valley Forge,489,PA,40.117835,-75.5469,0.8243,0.4231,0.7143,39016,2814572
Villanova University,6926,PA,40.036463,-75.340502,0.2339,0.9063,0.9604,100423,1122560000
Washington & Jefferson College,1139,PA,40.170622,-80.24049,0.8808,0.7413,0.8293,67918,154659668
Waynesburg University,1066,PA,39.899871,-80.186205,0.7557,0.5962,0.7245,58537,51964881
West Chester University of Pennsylvania,14014,PA,39.953398,-75.59812,0.8785,0.7164,0.8224,61258,62661101
Westminster College,1023,PA,41.119272,-80.331017,0.7528,0.6216,0.8218,53861,138302783
Widener University,2513,PA,39.861689,-75.355363,0.8769,0.6786,0.7547,70920,114949028
Wilkes University,1904,PA,41.244199,-75.890262,0.9414,0.5936,0.7116,63454,65820582
Wilson College,635,PA,39.949659,-77.650712,0.9405,0.5039,0.6912,43326,71425680
York College of Pennsylvania,3219,PA,39.94614,-76.727984,0.9561,0.6492,0.7606,61012,191061589
Brown University,7222,RI,41.82617,-71.40385,0.0506,0.9499,0.9865,93487,6520175000
Bryant University,3193,RI,41.920092,-71.539547,0.6881,0.8252,0.8584,90008,229248000
Johnson & Wales University-Providence,4135,RI,41.819956,-71.41277,0.8343,0.5851,0.7518,43418,264806395
Providence College,3959,RI,41.842742,-71.437446,0.5278,0.8561,0.8992,87054,320617453
Rhode Island College,4596,RI,41.842415,-71.46556,0.8753,0.4389,0.7096,56318,44471044
University of Rhode Island,13828,RI,41.484691,-71.527356,0.7639,0.7159,0.8476,69743,313057096
Rhode Island School of Design,2108,RI,41.825935,-71.407692,0.1742,0.9101,0.9536,68140,442909393
Roger Williams University,3971,RI,41.650214,-71.260374,0.9099,0.6639,0.7718,70266,77639526
Salve Regina University,2174,RI,41.471545,-71.30124,0.6953,0.7555,0.8238,72975,81633000
Allen University,603,SC,34.010348,-81.020045,0.4336,0.0815,0.5806,30497,380114
Anderson University,2960,SC,34.5152,-82.640358,0.4539,0.6033,0.8075,42101,59485623
Charleston Southern University,2771,SC,32.983047,-80.072587,0.8675,0.437,0.7036,45898,24414629
Benedict College,1726,SC,34.012941,-81.020403,0.6778,0.198,0.6495,31902,26512714
Southern Wesleyan University,798,SC,34.728068,-82.761586,0.5118,0.5967,0.6667,47756,7831204
College of Charleston,9667,SC,32.784225,-79.939794,0.7569,0.6466,0.7989,56416,135994186
Citadel Military College of South Carolina,2658,SC,32.797183,-79.958775,0.9858,0.7037,0.8425,72085,423628526
Claflin University,1730,SC,33.498444,-80.854319,0.78,0.5,0.7869,40304,49784119
Clemson University,22467,SC,34.679381,-82.835114,0.4298,0.8532,0.9239,71513,1008750237
Coker University,773,SC,34.37696,-80.070416,0.9408,0.4173,0.6303,40117,36428095
Columbia International University,775,SC,34.07551,-81.07443,0.4822,0.7,0.6606,38951,4779015
Columbia College,1136,SC,34.045581,-81.029967,0.9812,0.5548,0.555,41338,25999635
Converse University,804,SC,34.955534,-81.917881,0.5557,0.5714,0.739,40867,87105633
Erskine College,817,SC,34.332087,-82.39095,0.5325,0.4638,0.6348,53459,48164170
Francis Marion University,2684,SC,34.189777,-79.652854,0.8291,0.3923,0.6456,43888,37359342
Furman University,2278,SC,34.924676,-82.440458,0.6702,0.8541,0.8775,68635,838971215
Lander University,3360,SC,34.199892,-82.164736,0.674,0.449,0.6637,42396,21962590
Limestone University,1551,SC,35.057076,-81.649161,0.8947,0.2539,0.6511,44999,31505216
Newberry College,1292,SC,34.285868,-81.619777,0.7531,0.4947,0.689,48040,19592471
North Greenville University,1651,SC,35.069758,-82.37026,0.7606,0.5365,0.711,43035,40545952
Presbyterian College,877,SC,34.465834,-81.87448,0.5939,0.6341,0.6837,60194,110849891
University of South Carolina Aiken,2817,SC,33.572704,-81.767612,0.7562,0.4237,0.6031,45603,36565970
University of South Carolina Beaufort,1885,SC,32.303308,-80.973595,0.8003,0.3846,0.6054,48088,10168825
University of South Carolina-Columbia,26840,SC,33.996788,-81.026935,0.6405,0.7832,0.8962,62177,759523221
Coastal Carolina University,9495,SC,33.794995,-79.011767,0.7863,0.4797,0.7057,47258,51003267
South Carolina State University,2351,SC,33.497968,-80.848722,0.839,0.3436,0.6806,38262,15115496
University of South Carolina-Upstate,4046,SC,34.996403,-81.970583,0.7858,0.4321,0.6396,48587,13547830
Winthrop University,3376,SC,34.941515,-81.031404,0.6976,0.6093,0.6695,47185,75423258
Wofford College,1823,SC,34.959411,-81.933568,0.6018,0.825,0.8862,68964,437512908
Augustana University,1759,SD,43.525148,-96.736975,0.6579,0.7553,0.8197,59217,114087452
Black Hills State University,1933,SD,44.494889,-103.870966,0.9664,0.443,0.7112,46674,20661457
Dakota State University,1894,SD,44.013014,-97.113358,0.7891,0.4869,0.7449,50970,20100925
Dakota Wesleyan University,632,SD,43.697432,-98.031188,0.7477,0.5337,0.6886,53728,41435078
Mount Marty University,693,SD,42.874475,-97.409904,0.6839,0.5673,0.7069,48179,34620689
Northern State University,1258,SD,45.450829,-98.484728,0.7814,0.508,0.7361,47618,37554641
Presentation College,586,SD,45.483339,-98.49129,0.7558,0.2681,0.5072,53492,14168358
South Dakota School of Mines and Technology,2047,SD,44.075439,-103.205753,0.8269,0.5589,0.8282,72257,92609450
South Dakota State University,8627,SD,44.317485,-96.782139,0.8608,0.5926,0.7884,55070,225563332
University of Sioux Falls,1299,SD,43.531574,-96.738229,0.7595,0.5926,0.736,54521,35393598
University of South Dakota,5265,SD,42.786019,-96.925283,0.9946,0.5722,0.8176,51926,308697131
Austin Peay State University,7054,TN,36.533319,-87.354081,0.9382,0.4324,0.6552,44301,45295305
Baptist Health Sciences University,777,TN,35.138415,-90.027501,0.4093,0.5846,0.6349,72529,65033040
Belmont University,7349,TN,36.135589,-86.794807,0.9627,0.7247,0.8402,55930,394634409
Bethel University,2906,TN,36.137848,-88.516762,0.8879,0.4499,0.5573,47482,12847987
Carson-Newman University,1426,TN,36.122934,-83.491709,0.7978,0.5624,0.6751,48382,71080042
Christian Brothers University,1032,TN,35.127437,-89.983241,0.8746,0.5982,0.7122,57478,49827219
Cumberland University,1934,TN,36.204514,-86.298782,0.6621,0.4855,0.5895,57687,15994545
Lipscomb University,2950,TN,36.106253,-86.799791,0.7112,0.693,0.8407,55541,104008186
East Tennessee State University,9772,TN,36.301643,-82.366954,0.8526,0.5514,0.7189,44859,98019567
Fisk University,1009,TN,36.167087,-86.804805,0.7097,0.561,0.7924,45454,33686483
Freed-Hardeman University,1384,TN,35.440611,-88.637964,0.9119,0.6975,0.9241,47485,79574146
Johnson University,668,TN,35.937193,-83.750273000000007,0.6321,0.6565,0.766,40596,130370313
King University,1065,TN,36.585309,-82.159421,0.608,0.4633,0.6813,59831,37406380
Le Moyne-Owen College,605,TN,35.118641,-90.034101,0.9956,0.1809,0.6308,35594,15598623
Lee University,2932,TN,35.166019,-84.871399,0.7259,0.6285,0.7942,43222,30674062
Lincoln Memorial University,1461,TN,36.578508,-83.660198,0.7848,0.5085,0.7743,49956,51220171
The University of Tennessee Southern,787,TN,35.201019,-87.035661,0.8026,0.3028,0.6636,38924,0
Maryville College,977,TN,35.751505,-83.964223,0.695,0.5327,0.6642,49279,123094709
University of Memphis,14181,TN,35.118878,-89.938068,0.946,0.4826,0.7471,48458,283977835
Middle Tennessee State University,16239,TN,35.848005,-86.360618,0.7254,0.5459,0.7606,48541,139425465
Rhodes College,1966,TN,35.154405,-89.990803,0.5391,0.8501,0.9088,66651,431792843
The University of the South,1599,TN,35.204719,-85.920179,0.5232,0.8148,0.8882,64911,519143301
Southern Adventist University,2439,TN,35.048254,-85.052088,0.6578,0.5173,0.8487,53723,60719730
Tennessee Wesleyan University,906,TN,35.446331,-84.592728,0.6074,0.5,0.7527,45989,15360027
The University of Tennessee-Chattanooga,9820,TN,35.047519,-85.300247,0.8265,0.5235,0.7253,51151,219399644
The University of Tennessee-Knoxville,26905,TN,35.952082,-83.925852,0.6841,0.7258,0.8859,60249,1031893446
The University of Tennessee-Martin,4629,TN,36.340338,-88.864211,0.8844,0.5263,0.7111,44213,51015929
Tennessee Technological University,8341,TN,36.174754,-85.504039,0.781,0.6015,0.7846,48501,96258925
Trevecca Nazarene University,1738,TN,36.141324,-86.754238,0.7087,0.6127,0.7412,49378,41288890
Tusculum University,981,TN,36.172435,-82.760818,0.8108,0.3395,0.5528,44367,25772578
Union University,1731,TN,35.676896,-88.858524,0.5255,0.6657,0.8444,53990,54636525
Vanderbilt University,7144,TN,36.14659,-86.803369,0.0667,0.9277,0.9643,91565,10928512332
Abilene Christian University,3141,TX,32.468943,-99.709797,0.6579,0.6032,0.7851,55736,621200594
Angelo State University,5314,TX,31.440914,-100.465051,0.7914,0.4077,0.7324,50116,222128318
Austin College,1166,TX,33.646345,-96.596331,0.5437,0.7304,0.8445,61296,184772455
Baylor University,15134,TX,31.546872,-97.121041,0.4588,0.8143,0.9041,65793,1829449000
Concordia University Texas,1571,TX,30.420232,-97.835703,0.8574,0.3889,0.6769,60883,30815188
Texas A & M University-Corpus Christi,7818,TX,27.713723,-97.32395,0.8797,0.3507,0.6285,51865,24660452
Dallas Baptist University,2674,TX,32.710017,-96.947006,0.9137,0.5662,0.6215,56807,66791484
Dallas Christian College,245,TX,32.913692,-96.887117,0.5,0.3667,0.3429,43503,414801
University of Dallas,1446,TX,32.846221,-96.919512,0.587,0.7197,0.7731,58285,98445000
East Texas Baptist University,1324,TX,32.557847,-94.374488,0.677,0.4191,0.6576,52788,86853820
Texas A&M University-Texarkana,1758,TX,33.490482,-94.103617,0.9148,0.2995,0.6267,45515,12423736
Texas A & M University-Commerce,7317,TX,33.242112,-95.904579,0.8645,0.4273,0.6503,50296,39035847
Hardin-Simmons University,1323,TX,32.476434,-99.73564,0.8825,0.5791,0.6392,54771,214792367
Houston Baptist University,2814,TX,29.693819,-95.515954,0.8448,0.4931,0.6913,55933,132390291
University of Houston-Clear Lake,6343,TX,29.582523,-95.098129,0.6937,0.5374,0.6654,59004,38663636
University of Houston-Downtown,12752,TX,29.7661,-95.359338,0.8842,0.3088,0.6514,53551,62538740
University of Houston-Victoria,2699,TX,28.816248,-96.976334,0.8213,0.233,0.5969,54467,23070394
University of Houston,37080,TX,29.720393,-95.343537,0.6624,0.6308,0.8453,62377,1235974639
Howard Payne University,721,TX,31.716467,-98.985204,0.6229,0.3211,0.5463,48376,66310962
Huston-Tillotson University,991,TX,30.264667,-97.721691,0.5194,0.3172,0.6871,42937,14022548
University of the Incarnate Word,4547,TX,29.46708,-98.46583,0.942,0.5322,0.6999,56733,174507284
Lamar University,8075,TX,30.042738,-94.072244,0.8373,0.377,0.5937,49652,160527634
Texas A & M International University,6459,TX,27.571172,-99.436043,0.4788,0.4945,0.7909,48386,110479044
LeTourneau University,1553,TX,32.46632,-94.726394,0.4883,0.6692,0.7707,57103,28532915
Lubbock Christian University,1221,TX,33.575973,-101.934426,0.8159,0.4875,0.7143,53787,31779688
University of Mary Hardin-Baylor,3013,TX,31.066793,-97.463471,0.9567,0.4987,0.6446,56132,117597212
McMurry University,1092,TX,32.429776,-99.748682,0.565,0.3732,0.6433,48779,114332125
Midwestern State University,4421,TX,33.874809,-98.519386,0.9243,0.4101,0.6322,55747,105015304
University of North Texas,33023,TX,33.211178,-97.148422,0.7913,0.5892,0.8023,57010,273651514
The University of Texas Rio Grande Valley,26420,TX,26.306759,-98.173567,0.877,0.5282,0.7616,49620,134052305
Paul Quinn College,938,TX,32.678837,-96.755778,0.5728,0.2893,0.7222,29288,4976700
Prairie View A & M University,8103,TX,30.092425,-95.989475,0.7607,0.4147,0.7326,45411,148586258
Rice University,4480,TX,29.717897,-95.402035,0.0868,0.9363,0.981,89718,8080292000
Saint Edward's University,2751,TX,30.229618,-97.754998,0.851,0.6508,0.8062,58826,140346078
University of St Thomas,2524,TX,29.736438,-95.393102,0.9671,0.6581,0.711,59224,144057679
Sam Houston State University,18184,TX,30.714738,-95.546205,0.8463,0.5609,0.7389,54211,163021390
Schreiner University,1056,TX,30.031458,-99.130586,0.852,0.4983,0.6175,52228,89855989
St. Mary's University,1991,TX,29.453244,-98.562778,0.8622,0.5597,0.681,56955,251418189
Southern Methodist University,7044,TX,32.843612,-96.783365,0.5225,0.8231,0.9024,78354,2069879000
Southwestern Assemblies of God University,1435,TX,32.40443,-96.853492,0.8565,0.4167,0.7664,46238,12300779
Southwestern University,1480,TX,30.634341,-97.665738,0.4479,0.7158,0.7938,56878,364860834
Stephen F Austin State University,8961,TX,31.621056,-94.64908,0.8951,0.5307,0.7316,49634,120597192
Texas State University,33834,TX,29.888885,-97.943029,0.877,0.5586,0.8007,56906,299205866
Southwestern Adventist University,659,TX,32.397617,-97.32702,0.5362,0.4701,0.7923,52946,22260333
Sul Ross State University,1495,TX,30.363139,-103.651469,0.9707,0.2607,0.4896,41871,26201887
Tarleton State University,11880,TX,32.217805,-98.219039,0.8706,0.4581,0.7046,53040,87891668
Texas A & M University-Kingsville,4562,TX,27.525168,-97.882387,0.9655,0.4404,0.635,51450,149059964
Texas A & M University-College Station,56792,TX,30.618726,-96.336475,0.6265,0.8354,0.9455,72097,16895619110
The University of Texas at Arlington,30503,TX,32.729718,-97.11296,0.808,0.5348,0.7411,63199,220586002
The University of Texas at Austin,40980,TX,30.282825,-97.738273,0.3135,0.8779,0.953,75121,6018159908
The University of Texas at Dallas,21586,TX,32.984673,-96.749702,0.8474,0.6959,0.8727,68227,768751164
The University of Texas at El Paso,20123,TX,31.77015,-106.504098,0.9992,0.473,0.753,50923,364698907
The University of Texas at Tyler,6568,TX,32.315772,-95.254337,0.9387,0.4405,0.6074,57053,203826632
Texas Christian University,10510,TX,32.70961,-97.364758,0.561,0.8372,0.9174,68424,2001837000
Texas Lutheran University,1307,TX,29.573261,-97.982669,0.9183,0.536,0.6387,53863,110930016
The University of Texas Permian Basin,4060,TX,31.889509,-102.329634,0.9471,0.3975,0.6623,56073,70284307
The University of Texas at San Antonio,29112,TX,29.583709,-98.620657,0.869,0.5351,0.804,57131,277371781
Texas Southern University,6830,TX,29.721046,-95.361113,0.968,0.2625,0.5495,38924,85740147
Texas Tech University,32346,TX,33.583448,-101.874783,0.6734,0.6375,0.8571,62454,940613392
Texas Wesleyan University,1549,TX,32.732962,-97.279613,0.6093,0.3256,0.5552,54053,73607396
Texas Woman's University,8876,TX,33.226211,-97.127842,0.9363,0.482,0.7327,56544,110275037
Trinity University,2491,TX,29.462682,-98.48186,0.3051,0.7576,0.9109,71668,1725053106
Wayland Baptist University,2138,TX,34.187677,-101.730042,0.6972,0.1899,0.385,51838,95013405
West Texas A & M University,6828,TX,34.982789,-101.914736,0.9163,0.4502,0.6809,50741,121316104
Brigham Young University,31411,UT,40.250851,-111.649281,0.6667,0.7865,0.8977,75790,2554271000
Southern Utah University,9089,UT,37.674617,-113.070146,0.8385,0.5792,0.7102,50296,38816868
Utah State University,20573,UT,41.740748,-111.81391,0.9373,0.5439,0.7448,54022,522949924
University of Utah,25392,UT,40.762484,-111.846044,0.8913,0.6455,0.8457,67170,1362088000
Westminster College,955,UT,40.730779,-111.855757,0.6975,0.6454,0.7515,66215,95921030
Bennington College,733,VT,42.919547,-73.237799,0.4531,0.6923,0.8382,38289,40196905
Champlain College,3031,VT,44.473287,-73.202746,0.5568,0.645,0.7633,58386,29685138
Goddard College,105,VT,44.279087,-72.438388,0.8571,0.5714,0.8,25552,845266
Middlebury College,2751,VT,44.009117,-73.176068,0.1269,0.9354,0.9544,76310,1337235885
Norwich University,2706,VT,44.140237,-72.659783,0.8261,0.6106,0.7443,65575,328087000
Saint Michael's College,1200,VT,44.494558,-73.167069,0.8515,0.7445,0.7911,61317,103032651
Sterling College,86,VT,44.65225,-72.382372,0.9286,0.2963,0.75,30573,1248156
University of Vermont,11326,VT,44.477325,-73.196646,0.5979,0.7576,0.8874,62472,731031000
Averett University,1121,VA,36.577287,-79.413203,0.7603,0.4599,0.6256,51516,31001823
Bluefield University,615,VA,37.244557,-81.246233,0.6301,0.3146,0.5776,48896,7687411
Bridgewater College,1379,VA,38.378484,-78.969007,0.9036,0.5783,0.7538,53453,122095181
William & Mary,6778,VA,37.269489,-76.708214,0.335,0.9095,0.9536,73490,1278379747
Regent University,4281,VA,36.801173,-76.194627,0.3234,0.5458,0.7008,44498,95884000
Christopher Newport University,4442,VA,37.062495,-76.494364,0.8535,0.7608,0.8577,60509,57598862
Emory & Henry College,1080,VA,36.772857,-81.829142,0.9685,0.5775,0.6744,47385,115283706
Eastern Mennonite University,826,VA,38.471134,-78.880326,0.9948,0.6261,0.7923,54869,42404887
Ferrum College,780,VA,36.926431,-80.020614,0.843,0.2816,0.5777,44296,66212284
George Mason University,26447,VA,38.83195,-77.307063,0.9,0.7059,0.8525,76343,172997815
Hampden-Sydney College,846,VA,37.240615,-78.464216,0.3979,0.7527,0.8063,67640,246892981
Hampton University,2846,VA,37.019944,-76.339161,0.7447,0.4632,0.7716,59159,379992219
Hollins University,689,VA,37.354201,-79.943277,0.724,0.6563,0.684,40075,219546685
James Madison University,19968,VA,38.436311,-78.870484,0.7831,0.8115,0.8921,69954,154689476
Liberty University,48408,VA,37.350232,-79.18222,0.9929,0.6558,0.795,44813,2156598596
Longwood University,3009,VA,37.297975,-78.396987,0.8779,0.6656,0.7617,52347,90505276
University of Lynchburg,1543,VA,37.399774,-79.181653,0.9594,0.5988,0.7619,56380,146838070
University of Mary Washington,3443,VA,38.302492,-77.476055,0.8579,0.6877,0.8347,60613,69460911
Marymount University,1764,VA,38.905562,-77.128785,0.8142,0.6059,0.7454,67516,58426313
Norfolk State University,5328,VA,36.848429,-76.261375,0.895,0.3986,0.6985,44666,34000715
Old Dominion University,18152,VA,36.886418,-76.30666,0.9514,0.4826,0.7395,54914,313978428
Radford University,5945,VA,37.136907,-80.549728,0.9334,0.5396,0.6835,53739,72833373
Randolph-Macon College,1476,VA,37.76043,-77.478416,0.8545,0.7399,0.8134,58448,224352996
Randolph College,461,VA,37.437315,-79.171887,0.9501,0.4973,0.6715,53409,200537000
University of Richmond,3069,VA,37.577393,-77.538806,0.2437,0.8798,0.9151,76178,3351493000
Roanoke College,1801,VA,37.294861,-80.055467,0.7976,0.7134,0.7355,58047,182641560
Shenandoah University,2104,VA,39.167355,-78.157433,0.8036,0.6256,0.831,58433,83798963
Southern Virginia University,1053,VA,37.740368,-79.35037,0.9945,0.4608,0.6694,50002,1962493
Sweet Briar College,451,VA,37.556725,-79.081014,0.7575,0.6119,0.6215,51943,78473388
University of Virginia's College at Wise,993,VA,36.970602,-82.559656,0.7557,0.4494,0.6972,45325,170379954
Virginia Polytechnic Institute and State University,30339,VA,37.229012,-80.423675,0.5698,0.8642,0.9095,81698,1680300000
Virginia Commonwealth University,20552,VA,37.54962,-77.452697,0.91,0.6451,0.8478,58128,2729638656
University of Virginia-Main Campus,17103,VA,38.035665,-78.503428,0.1866,0.9522,0.9694,86863,10366577975
Virginia Military Institute,1512,VA,37.7896,-79.437067,0.7106,0.7687,0.8169,77369,703027853
Virginia State University,4295,VA,37.234692,-77.419026,0.8972,0.379,0.7306,45543,100222934
Virginia Union University,1297,VA,37.562405,-77.450903,0.8055,0.3913,0.5361,38275,37968398
Virginia Wesleyan University,1154,VA,36.868417,-76.18606,0.8143,0.4399,0.6862,50074,72822806
Washington and Lee University,1861,VA,37.788939,-79.443018,0.1696,0.9483,0.9752,94810,2092420000
Central Washington University,8650,WA,47.002687,-120.538368,0.9349,0.5226,0.6754,61580,50500435
Cornish College of the Arts,416,WA,47.618174,-122.336238,0.7113,0.5291,0.6907,33696,10898426
Eastern Washington University,6938,WA,47.490667,-117.583808,0.9612,0.4955,0.6706,57897,44545298
The Evergreen State College,1799,WA,47.07382,-122.977492,0.7437,0.4109,0.6538,45320,23186572
Gonzaga University,5018,WA,47.666531,-117.400625,0.6974,0.8809,0.926,78892,429174000
Northwest University,662,WA,47.657945,-122.192763,0.9426,0.6751,0.8077,54914,11497000
Pacific Lutheran University,2253,WA,47.14516,-122.440421,0.889,0.7179,0.7795,66990,130061000
University of Puget Sound,1712,WA,47.26308,-122.478982,0.8266,0.7611,0.7873,69594,474232000
Saint Martin's University,1344,WA,47.041068,-122.816354,0.9504,0.6017,0.7014,62092,33179590
Seattle Pacific University,2409,WA,47.650214,-122.361667,0.9071,0.654,0.7896,64506,169155000
Seattle University,4033,WA,47.608859,-122.318851,0.8515,0.7434,0.818,75272,311296767
Washington State University,22265,WA,46.730448,-117.158168,0.831,0.6201,0.805,68905,1308387422
University of Washington-Seattle Campus,30931,WA,47.65538,-122.30514,0.4752,0.8437,0.9361,78466,4497581653
Western Washington University,13686,WA,48.737812,-122.485734,0.9269,0.6534,0.7736,62569,111475274
Whitman College,1472,WA,46.069815,-118.331546,0.477,0.9037,0.8826,67589,839734351
Whitworth University,2037,WA,47.753358,-117.416714,0.9052,0.7568,0.7782,58561,203207178
Alderson Broaddus University,633,WV,39.158067,-80.047728,0.6149,0.3385,0.5687,49556,18685108
Appalachian Bible College,182,WV,37.853335,-81.198867,1,0.5854,0.7647,37467,1991836
Bethany College,594,WV,40.205819,-80.560056,0.6492,0.4207,0.747,44512,52635886
Bluefield State University,1244,WV,37.265732,-81.239037,0.9717,0.3521,0.578,38217,4316187
University of Charleston,2330,WV,38.333367,-81.616244,0.6773,0.4175,0.7091,55774,60478146
Concord University,1311,WV,37.423723,-81.006696,0.9139,0.403,0.5564,42703,44160094
Davis & Elkins College,644,WV,38.931232,-79.846022,0.7526,0.4842,0.7097,43411,71420183
Fairmont State University,2776,WV,39.483079,-80.162433,0.9849,0.4639,0.629,46857,31741589
Marshall University,6965,WV,38.422482,-82.428964,0.9688,0.4973,0.7446,46354,207472758
Shepherd University,2325,WV,39.433071,-77.804101,0.9586,0.4785,0.7039,49358,30505661
West Virginia State University,1362,WV,38.380541,-81.765034,0.9618,0.3543,0.6113,40492,12601083
West Liberty University,1648,WV,40.164417,-80.602256,0.7409,0.61240000000000006,0.7088,43296,20314393
West Virginia University Institute of Technology,1038,WV,37.775924,-81.184072,0.6458,0.3378,0.5638,55939,16760913
West Virginia Wesleyan College,886,WV,38.990661,-80.218969,0.9635,0.5349,0.6689,51593,84169619
West Virginia University,18370,WV,39.634371,-79.954391,0.8838,0.6212,0.7899,55939,812904316
Wheeling University,578,WV,40.070873,-80.690804,0.7265,0.704,0.7162,57949,11907772
Alverno College,717,WI,42.982842,-87.965174,0.8988,0.5283,0.7196,53145,41615758
Bellin College,346,WI,44.468277,-87.921722,0.9286,0.7568,0.8158,76222,11808755
Beloit College,921,WI,42.504022,-89.029285,0.6586,0.712,0.8241,53260,94110158
Cardinal Stritch University,526,WI,43.139752,-87.909045,0.9258,0.5152,0.6346,58698,13653757
Carroll University,2689,WI,43.004527,-88.228114,0.7214,0.6702,0.7478,58009,94723057
Carthage College,2541,WI,42.622969,-87.820924,0.8183,0.6468,0.7384,56950,164311119
Concordia University-Wisconsin,2556,WI,43.253387,-87.91552,0.7037,0.6639,0.7755,56075,97245644
Edgewood College,1127,WI,43.057059,-89.422884,0.9862,0.6245,0.7589,59728,70258436
Lakeland University,1281,WI,43.841573,-87.883414,0.9951,0.5183,0.6049,55961,21415099
Lawrence University,1411,WI,44.261323,-88.397822,0.7227,0.7802,0.875,55789,487034820
Maranatha Baptist University,571,WI,43.195013,-88.737016,0.7508,0.5596,0.7563,45593,277767
Marian University,1058,WI,43.777411,-88.420638,0.7155,0.5131,0.6514,53501,9753603
Marquette University,7290,WI,43.03903,-87.927961,0.8721,0.8252,0.8947,78257,929149000
Milwaukee Institute of Art & Design,895,WI,43.030917,-87.907925,0.6397,0.5665,0.8507,41174,3659778
Milwaukee School of Engineering,2562,WI,43.045364,-87.907691,0.6347,0.7104,0.8176,89070,87461359
Mount Mary University,640,WI,43.072507,-88.030732,0.6945,0.6017,0.6526,48745,27969827
Northland College,508,WI,46.579087,-90.87476,0.6839,0.5419,0.7419,44560,6923883
Ripon College,754,WI,43.844135,-88.842333,0.8133,0.5613,0.7611,54902,117532116
Saint Norbert College,1784,WI,44.44483,-88.067812,0.8359,0.7153,0.8185,58363,183935678
Viterbo University,1456,WI,43.803133,-91.244297,0.7238,0.6077,0.7586,55660,68452039
University of Wisconsin-Whitewater,8893,WI,42.835563,-88.742368,0.8238,0.6166,0.7426,55356,39399610
University of Wisconsin-Eau Claire,9138,WI,44.798284,-91.501906,0.7662,0.6528,0.8007,58561,72831550
University of Wisconsin-Green Bay,6305,WI,44.532298,-87.919973,0.8962,0.5231,0.6885,52528,49836202
University of Wisconsin-La Crosse,9137,WI,43.81568,-91.23186,0.7425,0.6979,0.843,60378,38114992
Wisconsin Lutheran College,990,WI,43.036943,-88.022718,0.9383,0.6711,0.7482,54664,46350005
University of Wisconsin-Oshkosh,7812,WI,44.026206,-88.549369,0.8852,0.5757,0.6782,55548,37338884
University of Wisconsin-Parkside,2969,WI,42.647718,-87.855231,0.7283,0.4006,0.7133,51129,14534690
University of Wisconsin-Stout,6176,WI,44.873187,-91.926653,0.8631,0.5192,0.719,58084,80168923
University of Wisconsin-Superior,2021,WI,46.717629,-92.091007,0.956,0.4016,0.6647,49606,25398140
