CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
1,Society,April 2016,92
2,Society,April 2016,45
NA,Property,April 2016,106
2,Property,May 2016,903
3,Person,May 2016,144
4,Person,May 2016,138
2,Person,May 2016,171
3,Property,May 2016,895
1,Person,May 2016,230
1,Property,May 2016,909
4,Property,May 2016,834
NA,Property,May 2016,77
NA,Person,May 2016,14
1,Society,May 2016,97
2,Society,May 2016,48
3,Society,May 2016,33
4,Society,April 2016,86
NA,Person,June 2016,7
4,Person,June 2016,142
1,Person,June 2016,227
2,Person,June 2016,178
4,Property,June 2016,782
3,Person,June 2016,133
3,Property,June 2016,867
2,Property,June 2016,946
1,Property,June 2016,1000
1,Society,June 2016,76
NA,Property,June 2016,59
2,Society,June 2016,56
4,Person,July 2016,158
NA,Person,July 2016,18
2,Person,July 2016,152
4,Property,July 2016,847
2,Property,July 2016,923
1,Person,July 2016,203
3,Person,July 2016,108
1,Property,July 2016,922
3,Property,July 2016,961
2,Society,July 2016,31
3,Society,July 2016,29
NA,Property,July 2016,58
1,Society,July 2016,57
4,Society,July 2016,73
3,Person,August 2016,130
2,Person,August 2016,166
4,Person,August 2016,193
1,Person,August 2016,198
3,Property,August 2016,1037
1,Property,August 2016,1029
1,Society,August 2016,99
NA,Person,August 2016,15
2,Property,August 2016,929
4,Property,August 2016,860
3,Society,August 2016,32
2,Society,August 2016,45
2,Person,September 2016,165
3,Person,September 2016,123
4,Person,September 2016,145
NA,Person,September 2016,12
1,Property,September 2016,1023
1,Person,September 2016,185
3,Society,September 2016,20
3,Property,September 2016,1087
2,Property,September 2016,952
2,Society,September 2016,24
1,Society,September 2016,67
4,Property,September 2016,931
NA,Property,September 2016,77
3,Person,October 2016,127
2,Person,October 2016,143
2,Property,October 2016,1088
1,Person,October 2016,173
4,Person,October 2016,175
NA,Person,October 2016,14
1,Property,October 2016,1054
4,Property,October 2016,979
3,Property,October 2016,1162
NA,Property,October 2016,87
1,Society,October 2016,80
4,Society,October 2016,52
1,Person,November 2016,176
2,Person,November 2016,129
4,Person,November 2016,170
4,Property,November 2016,976
3,Person,November 2016,124
1,Society,November 2016,62
2,Property,November 2016,1066
2,Society,November 2016,45
4,Society,November 2016,56
1,Property,November 2016,1014
3,Property,November 2016,1147
NA,Person,November 2016,13
NA,Property,November 2016,129
3,Society,November 2016,22
1,Person,December 2016,142
3,Person,December 2016,109
2,Person,December 2016,137
1,Property,December 2016,1100
3,Property,December 2016,1107
2,Property,December 2016,1040
NA,Person,December 2016,11
4,Person,December 2016,141
1,Society,December 2016,43
4,Property,December 2016,888
4,Society,December 2016,47
2,Society,December 2016,40
4,Society,June 2016,75
2,Society,October 2016,28
4,Society,March 2016,77
NA,Society,November 2016,5
4,Society,September 2016,103
