CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
NA,Society,March 2021,9
4,Person,April 2021,171
1,Property,April 2021,811
4,Society,April 2021,30
4,Property,April 2021,1070
3,Property,April 2021,891
3,Society,April 2021,23
2,Society,April 2021,19
NA,Person,April 2021,12
1,Society,April 2021,50
NA,Property,April 2021,54
1,Person,May 2021,240
4,Person,May 2021,177
2,Person,May 2021,194
3,Person,May 2021,159
4,Society,May 2021,58
2,Property,May 2021,1109
1,Property,May 2021,896
NA,Person,May 2021,15
3,Property,May 2021,971
1,Society,May 2021,39
4,Property,May 2021,1053
2,Society,May 2021,20
NA,Property,May 2021,97
3,Society,May 2021,22
1,Person,June 2021,284
4,Person,June 2021,211
3,Person,June 2021,150
2,Person,June 2021,204
4,Society,June 2021,19
1,Property,June 2021,941
2,Property,June 2021,1059
2,Society,June 2021,14
3,Property,June 2021,948
4,Property,June 2021,1069
1,Society,June 2021,43
NA,Person,June 2021,18
NA,Society,May 2021,12
NA,Property,June 2021,92
3,Society,June 2021,18
2,Person,July 2021,253
3,Person,July 2021,175
1,Person,July 2021,307
1,Property,July 2021,1034
4,Person,July 2021,212
2,Property,July 2021,1094
4,Property,July 2021,1197
1,Society,July 2021,28
NA,Person,July 2021,22
3,Property,July 2021,1069
NA,Property,July 2021,84
2,Society,July 2021,15
4,Society,July 2021,33
3,Society,July 2021,18
3,Person,August 2021,165
4,Person,August 2021,202
1,Property,August 2021,1014
1,Person,August 2021,264
2,Person,August 2021,192
4,Property,August 2021,1192
2,Property,August 2021,1226
3,Property,August 2021,1256
NA,Person,August 2021,29
3,Society,August 2021,18
1,Society,August 2021,71
4,Society,August 2021,53
2,Society,August 2021,14
3,Person,September 2021,135
1,Person,September 2021,237
4,Person,September 2021,218
1,Property,September 2021,1022
4,Property,September 2021,1264
2,Person,September 2021,159
2,Society,September 2021,16
2,Property,September 2021,1183
1,Society,September 2021,31
NA,Person,September 2021,17
3,Property,September 2021,1115
3,Society,September 2021,22
NA,Property,September 2021,64
4,Society,September 2021,34
4,Person,October 2021,186
4,Property,October 2021,1459
1,Person,October 2021,254
3,Person,October 2021,153
3,Property,October 2021,1383
2,Person,October 2021,181
1,Property,October 2021,1201
1,Society,October 2021,59
2,Property,October 2021,1407
2,Society,October 2021,20
NA,Person,October 2021,24
NA,Society,January 2021,9
3,Person,November 2021,126
1,Person,November 2021,236
1,Property,November 2021,1207
2,Person,November 2021,141
3,Property,November 2021,1355
4,Property,November 2021,1367
4,Person,November 2021,202
2,Society,November 2021,11
NA,Person,November 2021,24
3,Society,November 2021,12
2,Property,November 2021,1486
1,Society,November 2021,41
NA,Property,November 2021,78
2,Person,December 2021,151
1,Person,December 2021,234
3,Person,December 2021,161
2,Property,December 2021,1509
4,Person,December 2021,164
3,Property,December 2021,1368
4,Society,December 2021,25
1,Property,December 2021,1154
NA,Person,December 2021,24
NA,Society,December 2021,7
4,Property,December 2021,1295
1,Society,December 2021,39
3,Society,December 2021,22
2,Society,December 2021,11
4,Society,January 2021,19
3,Society,October 2021,18
4,Society,November 2021,32
4,Society,October 2021,41
NA,Property,October 2021,56
NA,Property,August 2021,102
NA,Property,December 2021,96
3,Not a Crime,June 2021,1
NA,Society,April 2021,8
NA,Society,July 2021,11
NA,Society,October 2021,12
NA,Society,June 2021,4
NA,Society,August 2021,5
NA,Society,September 2021,3
NA,Society,November 2021,4
NA,Society,February 2021,2
1,Person,January 2022,234
1,Society,January 2022,55
3,Person,January 2022,134
NA,Person,January 2022,15
4,Person,January 2022,183
2,Person,January 2022,165
2,Property,January 2022,1535
4,Property,January 2022,1426
1,Property,January 2022,1216
3,Property,January 2022,1247
4,Society,January 2022,43
NA,Property,January 2022,124
3,Person,February 2022,113
4,Person,February 2022,152
2,Person,February 2022,157
1,Person,February 2022,232
2,Property,February 2022,1310
1,Property,February 2022,943
3,Property,February 2022,1039
1,Society,February 2022,53
NA,Person,February 2022,15
2,Society,February 2022,15
4,Society,February 2022,40
4,Property,February 2022,1234
3,Society,February 2022,19
NA,Property,February 2022,118
1,Person,March 2022,233
2,Person,March 2022,182
4,Person,March 2022,203
3,Person,March 2022,173
1,Property,March 2022,1078
2,Property,March 2022,1497
2,Society,March 2022,16
3,Property,March 2022,1273
4,Property,March 2022,1388
NA,Person,March 2022,23
4,Society,March 2022,54
3,Society,March 2022,20
1,Society,March 2022,55
NA,Society,March 2022,11
NA,Property,March 2022,125
4,Person,April 2022,188
3,Person,April 2022,119
1,Person,April 2022,219
2,Person,April 2022,160
1,Property,April 2022,1111
2,Property,April 2022,1328
4,Property,April 2022,1428
4,Society,April 2022,50
1,Society,April 2022,58
3,Property,April 2022,1131
NA,Person,April 2022,15
2,Society,April 2022,20
NA,Property,April 2022,129
3,Society,April 2022,15
3,Person,May 2022,138
1,Person,May 2022,235
NA,Person,May 2022,22
2,Person,May 2022,179
1,Property,May 2022,973
4,Person,May 2022,209
4,Property,May 2022,1515
3,Society,May 2022,18
3,Property,May 2022,1209
1,Society,May 2022,56
2,Property,May 2022,1307
2,Society,May 2022,15
4,Society,May 2022,32
NA,Property,May 2022,156
2,Person,June 2022,157
1,Person,June 2022,231
3,Person,June 2022,155
4,Person,June 2022,171
1,Society,June 2022,51
3,Property,June 2022,1154
3,Society,June 2022,22
2,Property,June 2022,1134
1,Property,June 2022,951
NA,Person,June 2022,26
2,Society,June 2022,16
4,Society,June 2022,33
4,Property,June 2022,1366
4,Person,July 2022,215
1,Person,July 2022,286
2,Person,July 2022,215
3,Person,July 2022,159
1,Property,July 2022,887
NA,Property,June 2022,133
1,Society,July 2022,53
NA,Person,July 2022,31
3,Society,July 2022,25
2,Property,July 2022,1296
4,Property,July 2022,1395
3,Property,July 2022,1177
4,Society,July 2022,28
2,Society,July 2022,16
2,Person,August 2022,193
3,Person,August 2022,164
1,Person,August 2022,237
3,Property,August 2022,1256
4,Person,August 2022,213
4,Society,August 2022,30
NA,Person,August 2022,30
NA,Property,August 2022,120
2,Property,August 2022,1318
2,Society,August 2022,14
1,Property,August 2022,949
4,Property,August 2022,1387
1,Society,August 2022,46
NA,Society,August 2022,7
3,Society,August 2022,25
1,Person,September 2022,238
2,Person,September 2022,162
4,Person,September 2022,201
3,Person,September 2022,139
1,Society,September 2022,51
4,Property,September 2022,1265
2,Property,September 2022,1246
3,Property,September 2022,1200
NA,Person,September 2022,20
1,Property,September 2022,961
3,Society,September 2022,28
2,Society,September 2022,13
4,Society,September 2022,51
3,Person,October 2022,177
4,Person,October 2022,200
1,Person,October 2022,237
3,Property,October 2022,1328
2,Person,October 2022,170
2,Property,October 2022,1239
2,Society,October 2022,11
NA,Person,October 2022,19
1,Society,October 2022,58
4,Society,October 2022,41
1,Property,October 2022,929
3,Society,October 2022,31
NA,Property,October 2022,65
4,Property,October 2022,1407
1,Person,November 2022,197
3,Person,November 2022,127
3,Society,November 2022,30
2,Person,November 2022,153
4,Person,November 2022,153
1,Property,November 2022,1072
1,Society,November 2022,44
2,Property,November 2022,1317
3,Property,November 2022,1249
2,Society,November 2022,17
NA,Person,November 2022,14
4,Property,November 2022,1362
NA,Society,November 2022,6
4,Society,November 2022,26
1,Person,December 2022,202
2,Person,December 2022,183
2,Property,December 2022,1194
4,Person,December 2022,166
3,Society,December 2022,28
3,Person,December 2022,117
NA,Property,November 2022,99
3,Property,December 2022,1153
2,Society,December 2022,15
1,Property,December 2022,904
4,Property,December 2022,1318
NA,Person,December 2022,17
1,Society,December 2022,45
4,Society,December 2022,26
NA,Property,December 2022,62
NA,Property,July 2022,117
4,Not a Crime,November 2022,1
NA,Property,September 2022,74
2,Society,January 2022,9
3,Society,January 2022,16
NA,Society,June 2022,8
NA,Society,December 2022,6
NA,Society,January 2022,3
NA,Society,October 2022,2
NA,Society,July 2022,7
NA,Society,February 2022,15
NA,Society,April 2022,10
NA,Society,May 2022,4
NA,Society,September 2022,13
2,Person,January 2023,172
4,Person,January 2023,161
3,Person,January 2023,132
3,Society,January 2023,32
1,Person,January 2023,227
1,Society,January 2023,67
2,Society,January 2023,21
1,Property,January 2023,1024
3,Property,January 2023,1140
NA,Person,January 2023,17
2,Property,January 2023,1295
4,Property,January 2023,1579
4,Society,January 2023,31
NA,Society,January 2023,7
4,Person,February 2023,162
NA,Person,February 2023,11
2,Person,February 2023,162
1,Property,February 2023,812
1,Person,February 2023,186
2,Property,February 2023,1088
2,Society,February 2023,16
4,Society,February 2023,31
3,Person,February 2023,117
3,Property,February 2023,923
3,Society,February 2023,34
1,Society,February 2023,39
4,Property,February 2023,1297
2,Person,March 2023,188
3,Person,March 2023,152
4,Person,March 2023,216
1,Property,March 2023,1037
1,Person,March 2023,215
NA,Person,March 2023,13
4,Society,March 2023,38
3,Property,March 2023,1234
2,Property,March 2023,1154
4,Property,March 2023,1525
2,Society,March 2023,14
1,Society,March 2023,43
3,Society,March 2023,24
1,Person,April 2023,212
1,Property,April 2023,955
2,Person,April 2023,183
4,Person,April 2023,210
3,Person,April 2023,164
3,Property,April 2023,919
1,Society,April 2023,62
4,Property,April 2023,1360
2,Property,April 2023,1129
NA,Property,April 2023,99
NA,Property,March 2023,99
4,Society,April 2023,41
3,Society,April 2023,20
NA,Person,April 2023,9
2,Society,April 2023,15
1,Person,May 2023,255
2,Person,May 2023,208
4,Person,May 2023,208
3,Person,May 2023,148
3,Property,May 2023,851
4,Society,May 2023,47
2,Property,May 2023,1051
1,Property,May 2023,906
NA,Person,May 2023,18
1,Society,May 2023,50
4,Property,May 2023,1277
2,Society,May 2023,23
NA,Property,May 2023,71
3,Society,May 2023,23
2,Person,June 2023,203
1,Person,June 2023,209
3,Person,June 2023,158
3,Society,June 2023,34
4,Person,June 2023,242
3,Property,June 2023,833
4,Property,June 2023,1150
1,Property,June 2023,821
NA,Person,June 2023,11
2,Society,June 2023,21
2,Property,June 2023,1027
4,Society,June 2023,42
NA,Society,May 2023,5
1,Society,June 2023,36
1,Person,July 2023,235
3,Person,July 2023,141
3,Property,July 2023,860
3,Society,July 2023,37
4,Person,July 2023,234
1,Society,July 2023,49
2,Person,July 2023,167
4,Property,July 2023,1265
2,Society,July 2023,22
NA,Person,July 2023,18
4,Society,July 2023,34
1,Property,July 2023,916
2,Property,July 2023,1165
3,Property,August 2023,906
3,Person,August 2023,162
1,Person,August 2023,253
2,Person,August 2023,172
2,Property,August 2023,1234
4,Person,August 2023,217
4,Property,August 2023,1442
1,Property,August 2023,838
NA,Person,August 2023,18
1,Society,August 2023,44
2,Society,August 2023,17
3,Society,August 2023,31
NA,Property,August 2023,118
1,Person,September 2023,231
2,Person,September 2023,176
4,Person,September 2023,190
1,Property,September 2023,779
3,Person,September 2023,130
NA,Person,September 2023,9
3,Society,September 2023,32
2,Property,September 2023,1263
4,Property,September 2023,1380
4,Society,September 2023,60
1,Society,September 2023,53
3,Property,September 2023,820
2,Property,October 2023,1360
1,Person,October 2023,210
2,Person,October 2023,164
4,Person,October 2023,215
3,Person,October 2023,118
4,Property,October 2023,1352
1,Property,October 2023,848
2,Society,October 2023,18
NA,Person,October 2023,19
3,Property,October 2023,860
4,Society,October 2023,43
NA,Property,October 2023,51
1,Society,October 2023,42
3,Society,October 2023,38
3,Person,November 2023,121
2,Person,November 2023,154
4,Person,November 2023,181
1,Property,November 2023,764
1,Person,November 2023,205
NA,Person,November 2023,6
3,Property,November 2023,844
2,Property,November 2023,1309
4,Property,November 2023,1277
2,Society,November 2023,42
1,Society,November 2023,41
3,Society,November 2023,34
4,Society,November 2023,37
1,Person,December 2023,229
2,Person,December 2023,160
4,Person,December 2023,204
1,Property,December 2023,772
3,Person,December 2023,118
2,Society,December 2023,33
3,Property,December 2023,911
2,Property,December 2023,1152
NA,Person,December 2023,15
NA,Property,December 2023,47
NA,Society,November 2023,8
3,Society,December 2023,21
NA,Society,December 2023,2
4,Property,December 2023,1148
4,Society,December 2023,41
1,Society,December 2023,38
NA,Society,March 2023,1
4,Society,August 2023,35
NA,Property,February 2023,44
NA,Property,January 2023,85
NA,Property,September 2023,29
NA,Property,June 2023,67
2,Society,September 2023,22
NA,Property,July 2023,50
NA,Property,November 2023,32
NA,Society,September 2023,19
NA,Society,June 2023,8
NA,Society,October 2023,4
NA,Society,April 2023,6
NA,Society,July 2023,4
NA,Society,August 2023,7
NA,Society,February 2023,1
3,Person,January 2024,131
1,Person,January 2024,181
2,Person,January 2024,132
1,Property,January 2024,707
2,Property,January 2024,1147
2,Society,January 2024,21
4,Person,January 2024,175
4,Property,January 2024,970
1,Society,January 2024,53
3,Property,January 2024,766
NA,Person,January 2024,15
NA,Society,January 2024,6
4,Society,January 2024,28
3,Person,February 2024,122
4,Person,February 2024,208
1,Person,February 2024,194
2,Person,February 2024,150
1,Society,February 2024,36
2,Society,February 2024,19
4,Property,February 2024,1071
2,Property,February 2024,1144
1,Property,February 2024,763
NA,Person,February 2024,12
3,Property,February 2024,737
4,Society,February 2024,23
3,Society,February 2024,19
1,Person,March 2024,219
2,Person,March 2024,164
4,Person,March 2024,190
1,Property,March 2024,791
1,Society,March 2024,45
4,Society,March 2024,27
3,Person,March 2024,132
3,Society,March 2024,25
2,Property,March 2024,1149
3,Property,March 2024,763
4,Property,March 2024,983
2,Society,March 2024,26
NA,Person,March 2024,15
NA,Property,March 2024,43
3,Person,April 2024,135
4,Person,April 2024,164
1,Person,April 2024,210
4,Property,April 2024,1030
2,Person,April 2024,150
2,Property,April 2024,1024
3,Property,April 2024,764
4,Society,April 2024,33
1,Property,April 2024,804
NA,Society,March 2024,2
1,Society,April 2024,32
3,Society,April 2024,17
2,Society,April 2024,15
1,Person,May 2024,216
1,Property,May 2024,707
2,Property,May 2024,1079
4,Person,May 2024,186
3,Person,May 2024,130
2,Person,May 2024,162
2,Society,May 2024,18
NA,Property,April 2024,51
3,Property,May 2024,840
1,Society,May 2024,40
4,Property,May 2024,1057
NA,Person,May 2024,15
1,Person,June 2024,220
NA,Property,May 2024,32
3,Person,June 2024,149
4,Property,June 2024,1131
4,Person,June 2024,194
2,Person,June 2024,194
3,Property,June 2024,820
1,Property,June 2024,577
2,Property,June 2024,979
4,Society,June 2024,31
NA,Person,June 2024,11
1,Society,June 2024,43
3,Society,June 2024,37
2,Society,June 2024,18
NA,Society,June 2024,5
NA,Property,June 2024,44
1,Person,July 2024,202
4,Person,July 2024,230
4,Society,July 2024,26
1,Society,July 2024,45
2,Person,July 2024,219
1,Property,July 2024,698
3,Person,July 2024,151
3,Property,July 2024,830
2,Property,July 2024,1191
2,Society,July 2024,22
NA,Person,July 2024,4
4,Property,July 2024,1287
NA,Property,July 2024,52
4,Person,August 2024,200
1,Person,August 2024,241
1,Property,August 2024,774
3,Person,August 2024,140
2,Person,August 2024,202
2,Property,August 2024,1215
1,Society,August 2024,51
NA,Person,August 2024,8
4,Property,August 2024,1325
3,Property,August 2024,810
2,Society,August 2024,22
4,Society,August 2024,40
4,Person,September 2024,199
2,Person,September 2024,197
2,Society,September 2024,22
1,Property,September 2024,734
1,Person,September 2024,258
3,Person,September 2024,147
4,Property,September 2024,1237
3,Property,September 2024,941
2,Property,September 2024,1284
1,Society,September 2024,69
NA,Property,September 2024,36
NA,Person,September 2024,11
4,Society,September 2024,83
3,Society,September 2024,55
1,Person,October 2024,219
3,Person,October 2024,142
1,Property,October 2024,798
1,Society,October 2024,68
2,Person,October 2024,173
NA,Society,October 2024,5
4,Person,October 2024,193
2,Property,October 2024,1201
3,Property,October 2024,844
2,Society,October 2024,35
4,Society,October 2024,96
4,Property,October 2024,1287
NA,Person,October 2024,7
NA,Property,October 2024,73
1,Property,November 2024,688
2,Person,November 2024,149
3,Person,November 2024,132
4,Person,November 2024,161
1,Person,November 2024,177
3,Society,November 2024,40
3,Property,November 2024,869
2,Property,November 2024,1110
NA,Society,July 2024,1
1,Society,November 2024,58
4,Property,November 2024,1133
NA,Person,November 2024,12
2,Society,November 2024,25
NA,Property,November 2024,77
2,Person,December 2024,188
4,Person,December 2024,192
3,Person,December 2024,139
3,Property,December 2024,898
3,Society,December 2024,66
1,Person,December 2024,181
2,Property,December 2024,1185
1,Property,December 2024,737
2,Society,December 2024,25
NA,Person,December 2024,10
4,Property,December 2024,1111
1,Society,December 2024,56
NA,Society,December 2024,7
4,Society,December 2024,72
NA,Property,December 2024,54
NA,Society,August 2024,7
3,Society,October 2024,34
4,Society,November 2024,117
3,Society,May 2024,17
4,Society,May 2024,32
NA,Property,January 2024,34
3,Society,August 2024,26
NA,Property,February 2024,38
3,Society,January 2024,14
NA,Society,February 2024,3
NA,Property,August 2024,71
3,Society,July 2024,26
NA,Society,April 2024,2
NA,Person,April 2024,4
NA,Society,November 2024,4
NA,Society,September 2024,6
NA,Society,May 2024,1
4,Person,January 2025,151
3,Person,January 2025,134
2,Person,January 2025,186
2,Property,January 2025,1118
1,Person,January 2025,174
1,Property,January 2025,748
NA,Person,January 2025,7
4,Property,January 2025,1087
4,Society,January 2025,74
3,Property,January 2025,791
1,Society,January 2025,54
3,Society,January 2025,84
NA,Property,January 2025,46
2,Society,January 2025,31
1,Person,February 2025,176
2,Person,February 2025,168
2,Society,February 2025,25
4,Person,February 2025,156
3,Person,February 2025,131
2,Property,February 2025,992
3,Property,February 2025,676
1,Property,February 2025,588
NA,Person,February 2025,13
4,Society,February 2025,57
3,Society,February 2025,45
4,Property,February 2025,832
4,Person,March 2025,225
3,Person,March 2025,129
2,Person,March 2025,178
1,Person,March 2025,189
1,Society,March 2025,56
NA,Person,March 2025,8
1,Property,March 2025,695
3,Property,March 2025,751
2,Property,March 2025,1054
4,Property,March 2025,1003
4,Society,March 2025,57
2,Society,March 2025,28
3,Society,March 2025,39
3,Person,April 2025,151
2,Person,April 2025,186
1,Person,April 2025,187
4,Person,April 2025,191
4,Property,April 2025,1018
2,Property,April 2025,966
3,Property,April 2025,773
1,Property,April 2025,756
3,Society,April 2025,61
2,Society,April 2025,33
NA,Person,April 2025,9
1,Society,April 2025,78
4,Society,April 2025,57
NA,Property,April 2025,54
2,Person,May 2025,173
1,Person,May 2025,234
4,Person,May 2025,215
3,Person,May 2025,155
2,Property,May 2025,1044
NA,Society,May 2025,3
1,Property,May 2025,752
4,Property,May 2025,1144
NA,Person,May 2025,12
3,Property,May 2025,828
3,Society,May 2025,74
NA,Property,May 2025,66
2,Society,May 2025,25
1,Society,September 2025,46
1,Society,May 2025,63
4,Society,May 2025,159
1,Person,June 2025,197
1,Property,June 2025,663
3,Person,June 2025,143
2,Person,June 2025,203
4,Person,June 2025,237
3,Property,June 2025,830
1,Society,June 2025,44
NA,Person,June 2025,11
NA,Society,June 2025,2
2,Property,June 2025,1072
4,Property,June 2025,1062
2,Society,June 2025,24
4,Society,June 2025,77
3,Society,June 2025,48
4,Person,July 2025,238
1,Person,July 2025,218
2,Person,July 2025,195
4,Property,July 2025,1132
3,Person,July 2025,160
3,Society,July 2025,51
3,Property,July 2025,925
2,Property,July 2025,1077
1,Property,July 2025,707
1,Society,July 2025,56
NA,Person,July 2025,15
2,Society,July 2025,28
4,Person,August 2025,242
2,Person,August 2025,216
3,Person,August 2025,171
1,Person,August 2025,246
1,Property,August 2025,715
1,Society,August 2025,45
3,Society,August 2025,77
2,Property,August 2025,1075
4,Property,August 2025,1140
3,Property,August 2025,875
NA,Person,August 2025,4
2,Society,August 2025,29
2,Person,September 2025,216
NA,Person,September 2025,10
4,Society,August 2025,109
2,Society,September 2025,24
1,Person,September 2025,219
3,Person,September 2025,157
4,Person,September 2025,230
1,Property,September 2025,777
2,Property,September 2025,1059
3,Property,September 2025,965
4,Property,September 2025,1056
4,Society,September 2025,110
3,Society,September 2025,92
1,Person,October 2025,227
4,Person,October 2025,262
2,Person,October 2025,186
3,Person,October 2025,141
NA,Property,September 2025,54
NA,Person,October 2025,11
2,Property,October 2025,1156
1,Property,October 2025,822
3,Property,October 2025,907
2,Society,October 2025,26
4,Property,October 2025,1139
1,Society,October 2025,40
3,Society,October 2025,35
4,Society,October 2025,74
3,Person,November 2025,137
4,Person,November 2025,212
4,Property,November 2025,1040
1,Person,November 2025,224
2,Person,November 2025,184
2,Society,November 2025,19
NA,Person,November 2025,15
1,Property,November 2025,697
3,Property,November 2025,915
1,Society,November 2025,56
4,Society,November 2025,73
2,Property,November 2025,1034
2,Person,December 2025,183
3,Person,December 2025,128
4,Person,December 2025,214
1,Person,December 2025,222
1,Property,December 2025,797
2,Property,December 2025,1243
4,Property,December 2025,1020
1,Society,December 2025,54
3,Property,December 2025,872
2,Society,December 2025,28
NA,Person,December 2025,10
3,Society,December 2025,44
NA,Property,November 2025,58
NA,Property,December 2025,65
4,Society,July 2025,72
1,Society,February 2025,49
NA,Property,July 2025,45
4,Society,December 2025,73
NA,Society,December 2025,5
3,Society,November 2025,40
NA,Property,March 2025,48
NA,Property,June 2025,44
NA,Property,February 2025,55
NA,Property,August 2025,41
NA,Property,October 2025,70
NA,Society,January 2025,7
NA,Society,March 2025,7
NA,Society,July 2025,4
4,Not a Crime,May 2025,1
NA,Society,August 2025,4
NA,Society,February 2025,6
NA,Society,April 2025,6
NA,Society,October 2025,1
NA,Society,September 2025,2
NA,Society,November 2025,2
2,Person,January 2026,162
4,Person,January 2026,214
1,Person,January 2026,198
3,Person,January 2026,113
NA,Person,January 2026,11
2,Property,January 2026,1187
1,Property,January 2026,688
4,Property,January 2026,1078
3,Society,January 2026,46
3,Property,January 2026,820
1,Society,January 2026,48
4,Society,January 2026,81
2,Society,January 2026,31
2,Person,February 2026,142
1,Person,February 2026,178
3,Person,February 2026,135
4,Property,February 2026,911
1,Property,February 2026,635
3,Property,February 2026,766
4,Person,February 2026,167
4,Society,February 2026,87
NA,Person,February 2026,12
NA,Property,February 2026,52
2,Property,February 2026,1073
NA,Society,February 2026,10
NA,Property,January 2026,62
1,Society,February 2026,79
2,Society,February 2026,32
3,Society,February 2026,42
NA,Society,January 2026,2
