date,Midwest,National,Northeast,South,West,date_period
2022-01-01,16.23587457814012,16.718723116953242,21.021465107817644,14.624984507067124,17.252016423534098,All Results
2022-01-08,19.733570197429813,23.382905611434353,22.291833888036894,25.2836097667701,33.37473487795676,All Results
2022-01-15,18.03503251323644,23.380048310141724,28.580094855465855,23.650532479389632,31.822039039743306,All Results
2022-01-22,16.948687583412394,19.308186713991724,23.57253571859046,16.77290240066479,35.7147223912786,All Results
2022-01-29,11.881812339253155,13.564419337308184,13.403670849982298,12.534998283904216,22.64087654516384,All Results
2022-02-05,8.364985972675914,9.213488180845282,9.154445063144792,8.966078897333833,11.36979972980797,All Results
2022-02-12,5.583365205809745,5.946715921601042,6.875762636729977,5.23501840475593,6.6169899090206385,All Results
2022-02-19,4.017602916310168,3.9109744745339863,4.721872547244839,3.803722039323188,3.6125571083694625,All Results
2022-02-26,2.5793167221639823,2.571802752032108,3.4244122053087143,2.381262399862121,2.2356129716031665,All Results
2022-03-05,1.8637730009487308,1.74295946704756,2.413702840741707,1.344798867516497,1.4549010444573631,All Results
2022-03-12,1.7601695918582578,1.4736183011626238,1.5996897797846097,1.2274758558551624,1.065127124656298,All Results
2022-03-19,1.3634828723887826,1.1995609774947835,1.3768508086976476,1.0366755022513607,0.8916208933202531,All Results
2022-03-26,1.5003239241835122,1.2550109879111606,3.6866276892497423,0.998469095427348,0.9051943461198892,All Results
2022-04-02,1.2316667515426425,1.242170233271027,4.531248281159188,1.1257860664621464,1.0697633013188024,All Results
2022-04-09,1.4886774127172715,1.5653596323600287,6.267133922812533,1.4473790426520172,1.295587981727566,All Results
2022-04-16,2.1005159966801794,2.0890455933283008,5.225776156167477,1.778641855841579,1.8822850282826071,All Results
2022-04-23,2.985480444447832,3.1905125267201746,7.544533584664063,2.8996697023008897,2.9684371338974187,All Results
2022-04-30,4.324033730927657,3.8741571995849737,9.198803989679016,2.9358181627502553,2.6098469754859437,All Results
2022-05-07,5.195443161774301,4.942884814630867,9.0175342747872609,3.964162699999804,3.9965231960621943,All Results
2022-05-14,6.5159526084217925,5.785379723212185,5.775773654584254,4.879189803756914,5.219059012957839,All Results
2022-05-21,6.868693494353866,6.65101101537272,7.281913030231275,6.104015818262104,5.96126724881317,All Results
2022-05-28,7.406295669285976,7.139770432340651,6.617413716863831,6.867647933062809,8.189266428483945,All Results
2022-06-04,6.882122310131369,7.123997025585108,4.419682899139588,6.7495195344833245,9.74928862384909,All Results
2022-06-11,6.723923588393943,6.820274971096861,3.038041052210632,6.447990560040877,9.783699243149073,All Results
2022-06-18,6.379500096977927,6.693890709644496,4.455739223728285,5.826518686057539,9.254954277202172,All Results
2022-06-25,6.818424335755163,7.130925468778342,3.2198094428833093,6.089863421202109,10.889675270305345,All Results
2022-07-02,7.540312261880711,7.885828990119746,4.315822516865906,6.175054753390774,11.79650200457106,All Results
2022-07-09,9.487531436224664,9.186893590591364,5.080298087161966,8.084171659337876,12.266860428187332,All Results
2022-07-16,8.694269987689653,8.832738282008808,5.758972929322409,8.797895643829845,10.959759531184494,All Results
2022-07-23,9.6454070395121,9.517017613056993,6.842072021401501,9.207799651342755,11.022933039662398,All Results
